,Contents,Date,Summary,Title,URL
0,"In the face of a decline in manpower, the role of technology in defence is more important than ever, said Defence Minister Ng Eng Hen yesterday.  He was speaking at the launch of DSO Complex, the new headquarters of defence research organisation DSO National Laboratories.  With a total floor area of 69,000 sq m across two eight-storey buildings, the complex in Science Park Drive houses more than 1,000 staff working across 200 laboratories and offices, said DSO. It declined to comment on the cost of the building.  Dr Ng quoted former deputy prime minister Goh Keng Swee, who noted in 1970 that manpower constraints meant that the Singapore Armed Forces (SAF) was dependent on technology.  ""If technology was important then when we had fertility rates above replacement level, how much more so now and in our future, when our manpower supply falls"" said Dr Ng.  Dr Goh had established the predecessor of DSO in 1972 when he was defence minister.  DSO Complex will play a key role in driving ""experimental laboratories"" to provide the SAF with ""indigenous and special capabilities"" to meet a wide spectrum of security challenges, said Dr Ng.  These include facilities dedicated to two key areas: artificial intelligence (AI) and robotics.  The Playground - a dedicated space where DSO staff across various disciplines can explore and test ideas - features an artificial intelligence hub, which works on projects such as the use of video analytics to identify and track suspicious targets based on attributes such as height and clothing, and even one's gait.  It is also working on a platform that can profile suspected terrorists across multiple social media platforms.  DSO is currently engaging various government agencies on the implementation of the technology, said information division laboratory head Teow Loo Nin.  Meanwhile, a 500 sq m robotics laboratory allows engineers to develop and test robotic systems, prior to field trials. These include a variety of unmanned vehicle systems that can operate across land, sea and air.  Unmanned ground vehicles, developed by DSO, are able to navi- gate their way through forested areas without the benefit of GPS, said robotics autonomy programme manager Hikaru Fuji- shima. ""We had to develop complex, in-house algorithms to process the sensor data that allows the vehicles to operate in off-road environments,"" he said.  These ground vehicles can be paired with unmanned aerial vehicles for surveillance and intelligence-gathering purposes.  In order to meet the changing needs of both the Ministry of Defence (Mindef) and the SAF, DSO needs to harness expertise across various science and engineering disciplines, said DSO chief executive Cheong Chee Hoo.  The new complex is designed to facilitate collaboration not only be- tween DSO scientists and engineers, but also with its partners in Mindef, SAF and other agencies, he added.",2017-04-21,"Dr Ng quoted former deputy prime minister Goh Keng Swee, who noted in 1970 that manpower constraints meant that the Singapore Armed ...",Room to work on robotics and AI in new DSO Complex,http://www.straitstimes.com/singapore/room-to-work-on-robotics-and-ai-in-new-dso-complex
1,"Workers at Presto Drycleaners production plant using automation for some of their operations. As the backbone of Singapores economy, SMEs must take the first step towards sustainable progress in an increasingly competitive and unpredictable economy. TODAY file photo",2017-03-31,"Budget 2017 included myriad initiatives for small and medium enterprises (SMEs), and bolstering the National Robotics Programme and ...",Robots: What is holding Singapore back?,http://www.todayonline.com/singapore/robots-what-holding-singapore-back
2,"Artist impression of the new Woodlands Health Campus (WHC)  Singapores healthcare industry is accelerating smart tech integration to improve patient care. In a report by Channel NewsAsia, health minister Gan Kim Yong said a new hospital called the Woodlands Health Campus (WHC) will have AI capabilities to help clinicians analyse data and diagnose cases more efficiently.  The WHC is expected to be launched in 2022 in phases. It will feature an integrated acute and community hospital, specialist outpatient clinics and long-term care facilities, and will be able to serve up to 935,000 patients.  Also Read: Healthcare startups are stepping up in Thailand, take advantage of mobile popularity  Besides AI, electronic wristbands will also be issued to patients so that the hospital can keep tabs on them and track their medication and rehabilitation schedules accurately. It will also be used to track patients heartbeat and sleep patterns.  On the back-end logistics side, robotics will augment workers by automatinghousekeeping and delivery of food and sterile medical supplies.  WHC will also move services such as payment, ordering of medication, check-in, registration and filing of medical information online.  Register for your Echelon Asia Summit access pass now! Enjoy +10% off Echelon Asia Summit Startup, Investor and Corporate passes just for being our favourite e27 reader:  The post New hospital in Singapore to use AI, smartbands and robotics to improve patient care appeared first on e27.",2017-04-17,"Singapore's healthcare industry is accelerating smart tech integration to improve patient care. In a report by Channel NewsAsia, health minister ...","New hospital in Singapore to use AI, smartbands and robotics to ...",https://sg.news.yahoo.com/hospital-singapore-ai-smartbands-robotics-improve-patient-care-044951522.html
3,"DSO National Laboratories (DSO), Singapore's largest defence R&D organisation, officially opened its new complex in Science Park Drive on Friday (Apr 21).  SINGAPORE: DSO National Laboratories (DSO) - Singapore's largest defence R&D organisation - officially opened its new complex in Science Park Drive on Friday (Apr 21).    The eight-storey twin buildings house more than 1,000 research engineers and scientists from across 200 offices and laboratories. They are also equipped with facilities that can further research in areas of robotics and artificial intelligence (AI).    This includes the Playground, a shared space where researchers and scientists can access a wide suite of technology and tools. It also comprises an Artificial Intelligence hub, which aims to raise awareness of AI and promote innovative applications of the technologies to Singapore's defence systems.    Some of these innovations include using data for maritime security and analysing social media to determine and extract intelligence to support counter-terrorism efforts.    Another key facility in the new complex is the Robotics Laboratory, a one-stop shop for engineers to embark on prototyping, integration, simulation and testing of robotic systems prior to field tests.    It is the first of its kind in Singapore, and is focused on making unmanned systems smarter and faster.  In his opening address, Defence Minister Ng Eng Hen acknowledged the importance of DSO's role in the defence landscape, especially in building up new capabilities for the Next Gen Singapore Armed Forces.    ""As it did before, DSO's work must help us better prepare for challenges ahead. DSO's past efforts in AI and robotics since the 1990s have helped provide the SAF (Singapore Armed Forces) with unmanned platforms for land, sea and air,"" said Dr Ng.    ""With our increasing dependence on technology, the new DSO complex has been designed to encourage collaboration and spur innovations to meet SAF's future requirements,"" he added.  Dr Ng also went on a tour of the Playground and the Robotics Laboratory, where he witnessed a live demonstration of an unmanned air-to-ground teaming of a drone and driverless vehicle, capabilities which could soon be deployed in SAF operations.",2017-04-21,"The DSO National Laboratories (DSO) Singapore's largest defence R&D ... Another key facility in the new complex is the Robotics Laboratory, ...",New complex for DSO - Singapore's largest defence R&D organisation,http://www.channelnewsasia.com/news/singapore/new-complex-for-dso-singapore-s-largest-defence-r-d-organisation/3695578.html
5,"SINGAPORE, 19 April 2017: For those who look forward to the era of robots, then register for the International Conference on Robotics and Automation scheduled for Singapores Sands Expo and Convention Centre, 29 May to 3 June.  The event is the flagship conference of the Institute of Electrical and Electronics Engineers (IEEE) Robotics and Automation Society.  The decision to hold this inaugural conference in Singapore supports the countrys ongoing efforts to achieve the status of a Smart Nation.  Marina Bay Sands will host ICRA 2017 over six days, attracting researchers, engineers, students, industry experts, investors and members of the public to the Sands Expo and Convention Centre.  The conference theme, Innovation, Entrepreneurship, and Real-world Solutions, underscores the need for dynamic and goal-driven entrepreneurs and practitioners using robotics and automation technology to solve challenging real-world problems such as shortage of labour, an ageing society, and creating sustainable environments.",2017-04-18,"SINGAPORE, 19 April 2017: For those who look forward to the era of robots, then register for the International Conference on Robotics and ...",Robotics fans meet in Singapore,http://www.ttrweekly.com/site/2017/04/robotics-fans-meet-in-singapore/
6,"It's no RoboCop, but this autonomous patrol bot is going to be seen more and more often around Singapore.  Ademco, a local security services company, recently launched a rent-a-robot service, in response to fewer people signing up to work as security guards.  The 1.6m-tall robots are less like China's egg-shaped robot police, but more like a submarine, with five cameras on its long neck, two front cameras, and four wheels.  The robot can also record licence plates, as well as a 360-degree view of surrounding activities from up to 10 meters (32 feet) away.  It'll also send alerts to a 24-hour manned command center if it detects abnormalities like fire or loud sounds.  These robots are made by San Francisco-based SMP Robotics. The bots are designed to withstand Singapore's tropical climate, high heat, and humidity levels.  Ademco is hoping the robots will help offer an additional resource to its roster of human guards.  Companies can spend up to S$8,000 ($5,704) per month for two security guards covering 12-hour shifts, while the robot  which can operate nearly all day (minus charging times) would cost about S$500 ($356) less, estimates TODAY.  And unlike humans, these robots do not tire.  ""There are also limitations in human beings,"" Ademco group managing director, Toby Koh, told Channel NewsAsia.  Security staff patrol seven to eight times every 12 hours, he said. ""If I were to do a patrol 10 times a day, at some point, my ability to focus and concentrate, [to] try to identify abnormalities...is going to deteriorate.""  Perhaps more importantly, robot officers won't suffer from high turnover rates. With the long hours, Singapore is facing a shortage of security guards. In a 2014 report by the Straits Times, it's estimated that the country needed about 10,000 more guards, and security companies had to look to hiring personnel from Taiwan for armed auxiliary security services.  Patrick Lim, Ademco's director of group sales and marketing, said another reason for the high turnover is that security guards tend to get put off by some of the more mundane parts of the job over time.  If that can be replaced by machines, leaving the guards do perform more high-value skills, more people could be persuaded to stay on, he said.  Ademco's main competitor, Certis Cisco, told TODAY that it was also keen to use autonomous bots, but didn't say if it would roll out a similar service.  UPDATE: April 10, 2017, 11:55 a.m. SGT Updated with additional quotes from Ademco.",2017-04-07,"It's no RoboCop, but this autonomous patrol bot is going to be seen more and more often around Singapore. Ademco, a local security services ...",Robots are starting to replace human security guards in Singapore,http://mashable.com/2017/04/07/robot-security-singapore/
7,"Automated plane boarding bridges to be developed in Singapore  With rapid advancements made in robotics and Artificial Intelligence (AI), Singapore Technologies Engineering (ST Engineering) is all set to develop automated passenger boarding bridges in five to six years. This feature will be introduced at Changi Airport which will allow passengers to move from the airport terminal gate to an airplane without being exposed to the weather.  Director of ST Engineering-NTU Corporate Lab Paul Tan said, In Singapore, during the heavy weather period you could have thunderstorms that may impede a lot of the sensor operations.  If it (the bridge) is not docked properly it could add on to delays, and in the worst case it may lead to mishaps which might damage the aircraft, he said.  Tan added, By introducing automation, we provide precision control capabilities that allow the bridge to automatically dock to the aircraft regardless of weather conditions, thereby taking away the risk of potential damage or collision with ground vehicles.  The automated passenger boarding bridges use pre-determined markings based on existing aircraft types to align the bridge with the plane  allowing it to perform under adverse weather conditions at both day and night.  He also observed, ST Engineering started looking at a whole suite of airport robotics solutions about two years ago when various authorities approached the company to introduce robotics and AI into the airport environment.  Interestingly, Changi Airport Group (CAG) announced in January, a SGD50 million programme with the Economic Development Board (EDB) to develop solutions in robotics and unmanned systems, among others, in a live airport environment.  Tan added, As part of ST Engineerings effort to help Changi Airport in its airport transformation, we are focusing our robotics and intelligence systems on the airports air side as well as the terminus side. These systems can be used at both existing and new airport terminals.  Other works in the pipeline include an automated baggage tractor for baggage handling, and a smart wheelchair convoy system. Together with the automated passenger boarding bridge, Tan said he believes the airport would be able to enhance their productivity by at least 50 per cent.",2017-04-20,"With rapid advancements made in robotics and Artificial Intelligence (AI), Singapore Technologies Engineering (ST Engineering) is all set to ...",Automated plane boarding bridges to be developed in Singapore,http://www.connectedtoindia.com/automated-plane-boarding-bridges-to-be-developed-in-singapore-1230.html
8,"SINGAPORE - Once flooded with endless questions every day, receptionists at rental office firm Crosscoop Singapore may soon have an easier day at the office thanks to a new colleague who is literally wired for the job.  NAO, a humanoid robot, can provide a range of information from the phone numbers of recommended accounting firms to details about nearby restaurants including cuisine type and pricing. The robot, which can communicate in Japanese and English, occasionally breaks into a dance too.  NAO is just 57cm tall and bears a childlike appearance.  To access its database, visitors and tenants at Crosscoop Singapore need to select the type of information they want on a tablet placed in front of it, and the robot will provide the answer.  On Thursday (April 6), the firm gave a demonstration of NAO's abilities to the media.  NAO is on a two-month trial at the firm, a collaboration between SoftBank Telecom Singapore, Crosscoop Singapore and IT firm Nippon Jimuki. The trial ends in May.  NAO was previously on trial at MY World Preschool in Bukit Panjang, where it taught children in interactive ways, such as by dancing.  According to SoftBank Telecom Singapore - the local distributor of NAO - about 60 units of the robot, each costing about $14,000, has been sold here.  Crosscoop Singapore's hope is that NAO will help to reduce the monthly working hours of each receptionist from 160 hours to 150 hours.  The firm operates on the 10th storey of a commercial building at 80, Robinson Road.  Ms Atsuko Sato, 32, an office manager at Crosscoop Singapore, said she and other staff manning the front desk often get questions about Singapore from the 80 Japanese companies it rents office space to, including where to eat and the names of banks here.  ""Coupled with phone calls from potential customers, it is sometimes too much for us to handle, and at times we have to put people on hold,"" she said.  ""Now we can leave NAO to answer the simple questions, and we can concentrate on questions which required more detailed explanations.""",2017-04-06,"According to SoftBank Telecom Singapore - the local distributor of NAO - about 60 units of the robot, each costing about $14,000, has been ...",Humanoid robot NAO takes on receptionist tasks at rental office firm ...,http://www.straitstimes.com/singapore/humanoid-robot-nao-takes-on-receptionist-tasks-at-rental-office-firm-crosscoop-singapore
9,"Works are in full swing at the future Tuas port, with reclamation ongoing for two out of four phases of the development and more than 3km of caisson already installed to form the wharf.  The caisson, which sits on a foundation on the seabed, is a 28m-high concrete watertight structure - about the height of a 10-storey Housing Board block. Using caissons to build the wharf structure is faster than traditional methods like piling.  In all, 8.6km of caisson will have to be constructed under Phase 1 of the Tuas port project, which aims to grow the Singapore port, amid competition from other regional and global ports.  The new Tuas port - which will be twice the size of Ang Mo Kio town - will be opened progressively from 2021. When fully completed by 2040, it will be able to handle up to 65 million twenty-foot equivalent units of cargo a year, more than double what the port handled last year.  Work on the port, which will eventually house current operations at Pasir Panjang, Tanjong Pagar, Keppel and Brani container terminals, is proceeding as planned despite the current industry downturn.  Maritime and Port Authority of Singapore (MPA) chief executive Andrew Tan told The Straits Times: ""As a small and open country, any significant changes in the global economy would affect Singapore.""  Still, Singapore has maintained its position as a global port hub and an international maritime centre, despite the current slowdown.  He said: ""PSA's volumes are holding steady, vessel arrival tonnage has increased, more ships are being flagged under our registry and bunker volumes remain high.""  Reflecting the current industry challenges, the Singapore Maritime Week 2017 officially opened yesterday with the theme Navigating Through Challenging Times.  More than 20,000 maritime professionals, including high-level delegates from port authorities, industry leaders and maritime experts, are expected to attend the programmes throughout this week.  As part of the event, members of the public can take a virtual tour of the Port Operations Control Centre which helps to secure Singapore's waters, and also watch a drone that can analyse the chemical composition of hazardous smoke.  At the opening yesterday, Senior Minister of State for Transport Josephine Teo said it is critical for the industry to band together to face challenges. For example, to meet the sector's long-term demand for talent, the Singapore Maritime Foundation is working with government agencies and private companies to offer incentives such as scholarships.  And as part of the move to Tuas, MPA is studying new technologies and automation, including the use of robotics and drones that will not only make port operations more effective and efficient, but also more attractive for those considering joining the industry.",2017-04-24,Maritime and Port Authority of Singapore (MPA) chief executive Andrew ... including the use of robotics and drones that will not only make port ...,Full steam ahead for new Tuas mega port,http://www.straitstimes.com/singapore/full-steam-ahead-for-new-tuas-mega-port
10,"SINGAPORE - Five employers were charged in court on Tuesday (April 4) for failing to pay their employees' salaries.  They included two food and beverage firms, a construction company, a robotics firm, and a manufacturing company. The manufacturing company, Goodmate Global, faced 17 charges - the largest number among all five firms.  The others charged were 3S Restaurant, WOW Holdings, Access Builders, as well as the sole director of Infinium Robotics, Mr Woon Junyang.  Apart from not paying salaries, some firms also failed to pay salaries when their employees were dismissed, or terminated due to a breach of contract on their employers' part.  ""Employers must pay salaries on time,"" said Mr Raymond Tan, who is director of employment standards enforcement at the Manpower Ministry (MOM).  ""As in these cases, MOM will take stern action against errant employers for salary non-payment, including prosecuting those who have wilfully refused to comply with Labour Court orders or those who owed large amount of salaries to workers.""  Employers who fail to pay salaries to their employees can be fined up to $15,000, jailed up to six months, or both. The penalty can be doubled for repeat offenders.  Another case involving Mr Ching Hwa Min, a director of two companies - J S Environment Enterprise and Nam Hong Engineering - will be in court later this week, also for non-payment of salaries.  In a statement, MOM urged those who have not been paid their salaries, or who feel that their salaries have been wrongfully withheld, to approach the ministry or their unions early.",2017-04-04,"SINGAPORE - Five employers were charged in court on Tuesday (April 4) ... as well as the sole director of Infinium Robotics, Mr Woon Junyang.",Five employers charged for not paying salaries,http://www.straitstimes.com/singapore/courts-crime/five-employers-charged-for-not-paying-salaries
