,Contents,Date,Summary,Title,URL
0,"I suppose I could sit here and fret over a day in the not-too-distant future when a robot powered by artificial intelligence(AI) will spit out newspaper columns like this one, rendering redundant columnists like me. After all, there have been reports that computers can already churn out news reports that read almost as well as those written by journalists, and in a fraction of the time taken.  The thought of being replaced by software is depressing and, I might add, self-defeating.  That is why I disagree with the way technological advances and the future of work are all too often framed in either-or terms: either robot or human worker, either AI or human brain.  Here are a few recent examples of headlines in local media that fall into this category : ""AI may replace a third of graduate jobs: Study"", published on April 6; ""Evidence that robots are winning the race for American jobs"", published on March 30; and ""Robots may take over 10 million jobs in Britain in 15 years"", published on March 25.  Such reports reflect how automation and AI are more often than not viewed - not just in Singapore but in other parts of the world too - as threats to jobs and human well-being. An extreme example of such thinking is exemplified by historian Yuval Noah Harari, author of the best-selling book Sapiens: A Brief History Of Humankind.  In an essay for ideas.ted.com bearing the headline The Rise Of The Useless Class, he writes: ""The most important question in 21st-century economics may well be: What should we do with all the superfluous people, once we have highly intelligent non-conscious algorithms that can do almost everything better than humans""  He adds that ""the idea that humans will always have a unique ability beyond the reach of non-conscious algorithms is just wishful thinking"" because ""every animal - including Homo sapiens - is an assemblage of organic algorithms shaped by natural selection over millions of years of evolution"".  I question if human beings can be reduced to ""assemblages of organic algorithms"" but even if that view has some basis, it remains unclear what time frame Mr Harari has in mind for his doomsday scenario.  For the foreseeable future, though, I propose a reframing of the challenge, along the lines put forth in a 2015 Harvard Business Review (HBR) article by Professor Thomas H. Davenport and Ms Julia Kirby entitled Beyond Automation.  They write: ""What if we were to reframe the situation  ""What if, rather than asking the traditional question - what tasks currently performed by humans will soon be done more cheaply and rapidly by machines - we ask a new one: what new feats might people achieve if they had better thinking machines to assist them  ""Instead of seeing work as a zero-sum game with machines taking an ever greater share, we might see growing possibilities for employment.  ""We could reframe the threat of automation as an opportunity for augmentation.""  New feats, growing possibilities for employment, opportunity for augmentation - such phrases are not common currency in talk on the future of work. Yet they should be.  A change of focus from automation to augmentation changes the outlook for humans.  The first implies they will be replaced by robots while the second points to them collaborating with robots to achieve that which is impossible today.  Such a paradigm shift has the power to unlock human potential for it encourages people to stop agonising over cost and headcount cuts and imagine instead ways to bring about growth - business growth, economic growth, personal and professional growth.  I take heart that the man championing this paradigm shift from automation to augmentation - Prof Davenport - is considered an expert in information technology and management. A research fellow at the Massachusetts Institute of Technology (MIT) Centre for Digital Business, he penned the article with Ms Kirby, an HBR editor-at-large.  They also quote MIT economist David Autor, who closely tracks the effects of automation on labour markets and points to the immense challenge of applying machines to tasks that call for flexibility, judgment or common sense.  He says: ""Tasks that cannot be substituted by computerisation are generally complemented by it"", a point that ""is as fundamental as it is overlooked"".  So what to make of those dire forecasts of millions of jobs - including graduate jobs - being lost to robots and AI My sense is they are unhelpful. The impact of technology differs from place to place, depending on context and local circumstances. The rise of robots is much less of a concern for a small, labour-scarce country like Singapore than it is for a large, labour-rich one like China.  Worries about mass unemployment may in fact be overblown, the McKinsey Global Institute concludes in a report issued in January - A Future That Works: Automation, Employment And Productivity.  ""While much of the current debate about automation has focused on the potential for mass unemployment, predicated on a surplus of human labour, the world's economy will actually need every erg of human labour working, in addition to the robots, to overcome demographic ageing trends in both developed and developing economies.  ""In other words, a surplus of human labour is much less likely to occur than a deficit of human labour, unless automation is deployed widely,"" the McKinsey team writes.  Yes, the nature of work will change. As processes are transformed by automation of certain tasks, ""people will perform activities that are complementary to the work that machines do (and vice versa)"". The key word here is complementary, that is, humans and robots working together.  There will also be changes in how companies are organised, the bases of industry competition and business models. So yes, there will be disruption and humans will have to adapt. But the McKinsey report presents a more nuanced picture of what will happen to jobs by breaking them down into activities.  ""We consider work activities a more relevant and useful measure since occupations are made up of a range of activities with different potential for automation.  ""For example, a retail salesperson will spend some time interacting with customers, stocking shelves, or ringing up sales. Each of these activities is distinct and requires different capabilities to perform successfully,"" the McKinsey team explains.  Its research shows that based on current technology, the three types of activities most susceptible to automation are: physical activity or operating machinery in a predictable environment, collecting data and processing data.  It estimates that ""less than 5 per cent of occupations can be fully automated"" and ""about 60 per cent have at least 30 per cent of activities that can technically be automated"".  ""Workers"", it concludes, ""will need to work more closely with technology, freeing up more time to focus on intrinsically human capabilities that machines cannot yet match.""  It would be sweet irony if the entry of robots into the workplace helps us become more fully human. I certainly look forward to that day, and to a machine helping me write better columns.",2017-04-22,That is why I disagree with the way technological advances and the ... and AI are more often than not viewed - not just in Singapore but in other ...,Please stop saying I'll be replaced by a robot,http://www.straitstimes.com/singapore/please-stop-saying-ill-be-replaced-by-a-robot
1,"Helsinki-based ZenRobotics Ltd. has announced a ZenRobotics Recycler unit will be installed in a new material recovery facility (MRF) at Singapore-based V8 Environmental Pte. Ltd. The three-armed, robotic waste separation system is expected to be operational by mid-2018.With more than three decades of waste business experience, V8 Environmental will become the first company in Southeast Asia to use the robotic system at a MRF. With the investment of the robotic arms, V8 Environmental says it aims to revolutionize and bring the waste industry to greater heights in Singapore.Derrick Yu, V8 sales and operations director, says, We want to be the perceptive partner who offers solutions of the best value for our customers. We believe that ZenRobotics technology supports our vision that is to be Singapores leading professional partner in waste management. By incorporating best available technology, we add value to our processes and communicate our commitment to being forerunners in the industry. As the first MRF plant in Singapore adopting the robotics technology, we position ourselves with a forward-looking approach and constantly exploring new initiatives to upgrade efficiently.The ZenRobotics Recycler is the worlds first robotic waste sorting system, according to the company. The system reclaims multiple fractions simultaneously with the help of industrial robots and smart machine learning technology. The three-armed ZenRobotics Recycler unit can make up to 6,000 picks per hour and throws the sorted objects in several waste chutes, the manufacturer says. A wide working area of 2 metres by 2 metres (6.5 feet by 6.5 feet) ensures the systems high sorting performance, according to the manufacturer. The ZenRobotics Smart Gripper is specifically designed to meet the demands of solid waste.The robotics system delivery to Singapore will be ZenRobotics first installation in Southeast Asia, following deliveries to other Asian markets such as Japan and China.Currently were feeling a strong pull from Asia as well as the U.S. where the interest toward new solutions and eagerness to invest in innovative technologies has been great, says Rainer Rehn, ZenRobotics chief commercial officer.",2017-03-28,"As the first MRF plant in Singapore adopting the robotics technology, we position ourselves with a forward-looking approach and constantly ...",ZenRobotics to install recycling robot in Singapore,http://www.recyclingtoday.com/article/zenrobotics-recycler-singapore-mrf/
2,"If you chance upon an empty canoe moving by itself off Seletar Island, do not be alarmed.  The yellow robot kayak roaming the Strait of Johor looking for signs of trouble is the latest weapon in the war against killer algae.  It is armed with sensors that measure water temperature, salinity and chlorophyll, among other things.  Scientists are using it to monitor waters for harmful algal blooms which have killed fish and marine life en masse here in the past.  Scientists simply programme the robot to survey a designated area and collect data in real time that can then be used to map out patches of algae so scientists know how they are spreading.  Since 2010, scientists from the Tropical Marine Science Institute (TMSI) at the National University of Singapore and the Singapore-MIT Alliance for Research and Technology (Smart) Centre for Environmental Sensing and Modelling (Censam), have been harnessing advanced technologies to monitor environmental stressors, including algal blooms.  The project is funded by the National Research Foundation.  There are 270 known algae species found in coastal waters off Singapore. Here are some: Commonly found in the Johor Strait, it has toxic compounds that are known to cause massive fish kills during blooms. During the mass fish death in 2015, the Agri-Food and Veterinary Authority of Singapore found elevated levels of Karlodinium veneficum in seawater samples. The genus consists of more than 40 species and a third of them are toxic. Four Alexandrium species occur in Singapore waters. One produces a toxic compound that kills young sea bass and seahorses, while another causes paralytic shellfish poisoning, which can be fatal. This genus is known to have 12 species and can release toxins into the environment as aerosols, which can cause respiratory problems in humans. Recreational beaches have been forced to close due to blooms caused by such species. Eating shellfish contaminated with the algae may also result in neurotoxic shellfish poisoning, which causes headaches and aching muscles, among others. An undetermined species was observed in the Singapore Strait in a study published last year.  ""The sea, as a research field, is a very challenging environment to collect data. Autonomous fleet of vehicles are able to collect relatively more data, more accurately as opposed to traditional methods,"" said Mr Tawfiq Taher, a senior research manager at Smart Censam.  ""Due to the harsh nature of the sea, the robots are required to be robust and resilient to the extreme weather conditions.""  Local fish farms here have been badly hit by algal blooms in recent years. Just two years ago, 77 farms were affected by the blooms which wiped out 500 to 600 tonnes of fish - about one-tenth of local farms' yearly produce that year .  There are 118 Singapore coastal fish farms in the East and West Johor Strait, and the southern waters, where most rear fish in net cages in the sea. There are another seven fish farms on land.  Last year, the farms produced about 5,000 tonnes of fish, accounting for about 10 per cent of the fish eaten here.  Dr Sandric Leong, a senior research fellow with TMSI who is co-leading the project, noted that algal blooms are linked to many factors, including slower or warmer water, high nutrient levels and discharge from land agriculture.  ""Advanced technologies assist in finding the blooms which are still in the early development stage so that the public can be alerted,"" he said.  Dr Leong and his TMSI team are also using other technologies to help track and detect algal blooms with greater efficiency.  They include a machine which can identify algae species in a few hours instead of days.  An underwater camera is also able to operate at depths of up to 2km, to capture images of algae lurking deep in the sea.  National water agency PUB is also using technology to monitor reservoirs and waterways. It has developed a life-sized robot swan, with the NUS Environmental Research Institute and TMSI, to measure chlorophyll levels and water quality in reservoirs.  The Agri-Food and Veterinary Authority of Singapore (AVA) said it monitors the water quality around the nation's fish farming areas.  ""The use of autonomous surface vehicles (ASV) is relatively new in Singapore but such technologies can help to complement AVA's monitoring efforts,"" added a spokesman.  ""On some occasions, we have tapped on the water quality data from NUS' ASV trials to assist in our assessment of water quality in the East Johor Strait.""",2017-03-28,The yellow robot kayak roaming the Strait of Johor looking for signs of ... and the Singapore-MIT Alliance for Research and Technology (Smart) ...,Robot kayak joins fight against algae,http://www.straitstimes.com/singapore/environment/robot-kayak-joins-fight-against-algae
4,"Bulky machines on a factory floor print out intricate metal parts layer by layer before they are moved from one conveyer belt to another by tireless robotic arms with pinpoint precision.  In another country thousands of kilometres away, a manager checks his mobile device to ensure these machines and robots on the distant production floor are running under specific conditions so that they achieve maximum output.  Welcome to the new era of manufacturing, on display this week in an exhibition at the Singapore Expo.  Manufacturing Technology Asia 2017, which opened yesterday, aims to bring businesses large and small, technology providers and service firms together to share experiences and opportunities.  It is in part prompted by the potential created by technological advances.  By interacting with seasoned industry players, businesses will gain a better idea on how advanced manufacturing technologies may be adopted in their own operations.  The event, organised by trade event organiser UBM SES, will also allow businesses to explore technologies already available on the market, connect with providers and work on new solutions.  The exhibition, which comprises 301 companies from 26 countries, is showcasing a spectrum of innovative technology, including additive manufacturing (also known as 3D printing), optics and photonics, precision engineering and semiconductor manufacturing.  Mr Johan de Villiers, managing director of technology provider ABB, said: ""Adopting new technology is absolutely essential for firms.  ""It ensures the competitiveness of Singapore in a global economy. For a country with limited resources, the ability to use technology will continue to be a key competitive advantage for Singapore.  ""It also presents a key export opportunity for Singapore as it develops a workforce that adds value in the digital environment. Those skills are going to be a large part of the future global economy.""  Ms Sim Ann, Senior Minister of State for Trade and Industry, mentioned at the opening ceremony the importance of preparing Singapore's manufacturing sector for technological developments.  She said: ""Advanced manufacturing presents significant opportunities for our economy, companies and people.  ""Events such as the Manufacturing Technology Asia exhibition serve as useful and important platforms for key stakeholders to exchange ideas, and discuss how we can work together to drive the industry's push towards advanced manufacturing.""",2017-04-04,PHOTOS: MANUFACTURING TECHNOLOGY ASIA 2017 ... they are moved from one conveyer belt to another by tireless robotic arms with pinpoint precision. ... on display this week in an exhibition at the Singapore Expo.,The new era of manufacturing is here at Expo event,http://www.straitstimes.com/business/the-new-era-of-manufacturing-is-here-at-expo-event
5,"At the Cali Cafe & Bar in Park Avenue Rochester Hotel, Minister of State for Manpower Teo Ser Luck takes a dish out of a food service robot, developed by local automation company, Techmetics Solutions.  With Mr Teo are the founder and CEO of The Happy Roots, user of the technology, Neelendra Jain (left), 49, and its general manager Joel Saldanha, 31.  Correction note: An earlier version of the story stated that the event took place at Park Avenue Rochester Hotel and that The Happy Roots is the developer of the robot.These are incorrect. It should be at Cali Cafe& Bar in Park Avenue Rochester Hotel and Techmetics Solutions as the developer of the robot . We are sorry for the errors.",2017-04-13,"With Mr Teo are the founder and CEO of The Happy Roots, user of the technology, Neelendra Jain (left), 49, and its general manager Joel ...","Here comes the robot with your meal, Sir",http://www.straitstimes.com/singapore/manpower/here-comes-the-robot-with-your-meal-sir
6,"Trials for self-driving pods in Sentosa and autonomous buses possibly around Jurong Island and the National University of Singapore (NUS) will kick off in the next three months, and if things go well, the rides may be rolled out to the public from as early as 2018 and 2020 respectively. Graphic: LTA",2017-04-10,"SINGAPORE — Driverless vehicles, which have so far been limited to ... and a rain filter to allow the AV technology to detect obstacles in a downpour. ... which ST Engineering is also involved in - and robot taxis at one-north.",Driverless buses may hit S'pore roads from 2020,http://www.todayonline.com/singapore/trials-self-driving-pods-buses-kick-month
7,"Businesses in Singapore have long complained about a shortage of labor which they say has pushed up wages. Now they're seeking to push back against labor costs, replacing people, with robots.     Meet e-bot, a food delivery robot that can accept payment go down ramps and take lifts with other staring passengers.    E-bot is employed by e2i, a government agency that assists workers and employers through career guidance and job matching services. Against the backdrop of rising labor cost and a shortage of manpower, e2i wants to showcase e-bot as a possible solution for future employment in Singapore.    ""I think the issue out there is that we need something to be showcased, piloted, tested, test-bedded, so when we first did it, we had to overcome some of these challenges: how the robot communicates with the home base, how do we get the safety of the robot in place, because this is a crowded campus,"" said Gilbert Tan, CEO, Singapore Employment & Employability Institute.    Safe interaction between human and machine is key for a project like this. E-bot is smart enough to avoid obstacles, but sometimes human error could stop it from doing its job. And then, it needs a helping hand.     ""The robot has two emergency locks on the side. Perhaps someone was curious and touched the buttons. E-bot was locked in the lift for a long time. So I went to look for it and unlocked it. It walked back slowly,"" said Aisha Wong, Cafe Worker.    Singapore has allocated more than 320 million dollars to support the national robotics program since last year. The finance minister says robotics technology can enable Singapore to work more efficiently in a tight labor market. It can also create more high value-added jobs.    One company thats convinced that automation and robotics is the way forward is SATS. The airport service and in-flight catering company controls 80 percent of Changi Airports ground handling and catering business.  In the past few years, SATS has managed to grow its business but maintain labor cost, thanks to productivity measures such as robots and automated guided vehicles.  The company CEO says although technologies make the organization a lot more efficient, its the people who are leading the changes.  ""Because the technology on its own without the support of the people wont work,"" said Alexander Hungate, CEO, SATS.  ""The draw back of a lot of these new technologies is that they are fundamentally less flexible than human beings and so you need the human element to work out how they can be best used because its about complimenting the passion and the creativity of people with technology to make them more productive.""    So will robots take over human jobs in the future The answer is a definite yes and its happening now. But the good news is that they are only there to make humans more productive and more creative. After all, technology cant replace the human touch.   ",2017-04-10,Businesses in Singapore have long complained about a shortage of ... The finance minister says robotics technology can enable Singapore to ...,Businesses turn to robots to cut labor costs,http://english.cctv.com/2017/04/10/VIDEhsVLO4ovOPjjelDqWPbt170410.shtml
8,"They have come up with spin-off companies, new technology and breakthroughs, but the time is up for the five research programmes under the prestigious Singapore-MIT Alliance for Research and Technology (Smart) initiative.  Moving forward, Singapore's National Research Foundation (NRF) - which funds the effort - will look at new proposals and research programmes which are relevant to Singapore, it said.  Meanwhile, the over 200 full-time researchers at Smart, hired on contract basis for the expected term of the research programme, will have to wait and see if their contracts are renewed.  Smart's environmental sciences and infectious diseases programmes will cease when their decade-long term expires at the end of the year. Three other programmes, which research into areas such as future urban mobility, low-energy electronic systems and technologies for the healthcare industry, will also end when their tenures are up from next year onwards.  The five programmes have resulted in a number of spin-off companies. One example is Visenti, a Smart spin-off which manages water technologies and sensors. It has since been acquired by global water technology leader Xylem.  Smart has also worked with the National University of Singapore on a robot kayak, which monitors the waters in the Strait of Johor for harmful algal blooms that killed fish and marine life en masse here in the past.  However, an NRF spokesman pointed out: ""NRF reviews and refreshes the portfolio of programmes... as part of a continuous process to increase the impact of research conducted.""  A Smart spokesman told The Straits Times that it has submitted a proposal for a new research programme, Urban Sustainability and the Environment. NRF, however, said it has not accepted the proposal, although it could follow up on some ""promising"" areas.  ""Smart will work with NRF to identify possible partners for collaboration,"" said the NRF spokesman.  Smart, established to much fanfare in 2007, is the Massachusetts Institute of Technology's (MIT) largest, and only, international research centre.  It was the first of several international research centres established under an initial $1 billion initiative called Campus for Research Excellence and Technological Enterprise (Create).  Create, which has also established centres with universities such as Cambridge University, aims to foster joint research programmes between the world's top research universities and Singapore-based research institutes, as well as to recruit and nurture a pool of young talent here.  All NRF-funded programmes at Create are awarded for five years in the first instance and can be renewed once, with a maximum span of 10 years - a process in line with international practices. There are regular reviews, during which the research directions are either reaffirmed, modified or concluded.  Some programmes failed to make it past the five-year mark, including those with the Technion-Israel Institute of Technology and Peking University.  NRF has also identified new areas of research that Singapore should invest in. For example, last year, it pumped in $25 million to start a five-year marine science programme to spur research into how the Republic can better cope with emerging challenges such as climate change, heavy shipping and urbanisation.  ""In line with Singapore's Smart Nation initiative, we are also looking to support the development of digital capabilities in areas including cyber security, data science and artificial intelligence,"" said the NRF spokesman.  Dr Erik Velasco, aresearcher from Smart's environmental sciences programme,said the programme was the first environmental research centre in Singapore, and has over the past decade conducted scientific work on topics of relevance for Singapore's sustainability and welfare. The centre has done studies on domestic air quality, haze, and algae blooms, for instance.  The closure of the environmental programme, known as the Centre for Environmental Sensing and Modelling, was a loss of human capital and knowledge. ""I am pretty sure other institutes will continue the research work started... Hopefully, they will follow the same approach of openness to the public.""  However, Dr Velasconoted that the closure was an opportunity for NRF to review its programmes and policies according to Singapore's needs. ""Singapore needs to invest in scientific institutions and not just in research projects. Permanent institutions will provide sustained advice and support to both the authorities and society. Singapore needs to rely on knowledge generated by scientists based in Singapore. Such scientists need to be part of Singapores society and share its problems. Famous and well reputed scientists working somewhere else may provide good advice, but wont be able of identifying such problems neither of providing adequate solutions.""  Note: This story was edited to include quotes from a Smart researcher.",2017-04-05,"... at the Singapore-MIT Alliance for Research and Technology's (Smart) ... worked with the National University of Singapore on a robot kayak, ...",Two Singapore-MIT research programmes to end this year,http://www.straitstimes.com/singapore/two-spore-mit-research-programmes-to-end-this-year
9,"McKinsey & Company's new Singapore Digital Capability Centre (DCC), opening on April 11, will help local companies harness emerging technological changes - collectively known as Industry 4.0 - that are disrupting industries around the world, according to Oliver Tonby, McKinsey's South-east Asia managing partner.  MCKINSEY & Company's new Singapore Digital Capability Centre (DCC), opening on April 11, will help local companies harness emerging technological changes - collectively known as Industry 4.0 - that are disrupting industries around the world, according to Oliver Tonby, McKinsey's South-east Asia managing partner.  Mr Tonby said Industry 4.0 describes four broad disruptions. They are: increasing data availability and interconnectivity; analytics and business intelligence (BI) capabilities, including artificial intelligence (AI); advanced human-machine interactions such as cobots (a collaborative robot that interacts with humans in the workplace); and advanced production methods such as 3-D printing.  All these are expected to transform the entire life cycle of a business' product, from customer order to after-sales.  The Singapore centre is part of a global network of five DCCs that McKinsey has around the world. The Singapore centre will be in partnership with A*Star's Advanced Remanufacturing and Technology Centre (ARTC) and, apart from Singapore, will also serve the South-east Asian region. McKinsey is spending US$15 million upfront in establishing the centre and will employ 10 new full-time employees. According to sources close to the project, McKinsey expects that more investments in the centre will be ongoing as it expands and increases its scope. Most of the money is likely to go into hiring more skilled personnel.  Talking to The Business Times, Mr Tonby noted that with manufacturing accounting for one-fifth of Singapore's economic output, ""the facility is in line with the nation's push to become a regional hub for advanced manufacturing (AM)"".  He added: ""Singapore, in our view, is also uniquely positioned to become the home of smart manufacturing pilots. The DCC is also designed to be especially relevant to regionally important sectors including discrete manufacturing, semiconductors, oil and gas, electric power, and mining.  ""We see DCC Singapore playing an integral role in the ecosystem, drawing on ARTC's state-of-the-art facilities and research and development capabilities across A*Star, ranging from manufacturing, data analytics, virtual process modelling, and digital solutions for complex manufacturing processes.""  David Low, ARTC's CEO, told BT that his organisation would be jointly conducting manpower training sessions with McKinsey for companies to get an appreciation of lean manufacturing and Industry 4.0.  ""These sessions will leverage DCC's learning modules across themes such as predictive maintenance, digitised performance management, procurement and supply chain. The DCC will utilise part of ARTC's Model Factory testbed that will be launched in the later part of the year,"" Mr Low said.  The Model Factory testbed will provide a learning environment for companies to experience advanced manufacturing technologies, so that they can acquire and deepen their knowledge and skills in such technologies, thereby reducing the risks involved in adopting AM in their own factories and processes  ARTC will also groom talent for Future of Manufacturing technologies through workshops and on-the-job training. At any one time, ARTC has at least 30 interns from the various Institutes of Higher Learning (IHLs) such as NTU (Nanyang Technological University), NUS (National University of Singapore, SUTD (Singapore University of Technology and Design), Singapore Polytechnic, Ngee Ann Polytechnic, Nanyang Polytechnic, Republic Polytechnic and Temasek Polytechnic.  As new technologies such as robotics, digitalisation, IoT (Internet of Things) and analytics come online, the manufacturing sector is changing dramatically. Advanced manufacturing is one of the areas identified by the Committee on the Future Economy (CFE) as a growth cluster. CFE noted that Singapore should augment its current base of complex manufacturing capabilities, and prepare its workforce to take on the jobs created by the integration and adoption of AM technologies.  Recently German semiconductor giant, Infineon Technologies, announced that it is spending 70 million euros (S$104.8 million) in five years till 2021 to develop a smart factory at its backend manufacturing plant in Singapore. Infineon said it would progressively increase the level of automation, connectivity and control within the factory. It added that Industry 4.0 ""is not only the next step in automation, but will substantially change how we work; machines are becoming more intelligent and will be able - to a large extent - to control and optimise themselves and the production process in which they are involved"".  McKinsey's Mr Tonby said the company's DCCs around the world will simulate different companies, depending on the needs of the region. ""For example, the Singapore facility will feature a gearbox manufacturer whereas the German facility will feature a woven smart wristband producer. Ultimately, the realistic production environment is the biggest differentiator as all centres will feature similar capability learning modules which will be developed in synergy and then tailored to the simulated business.""  He added that the Singapore centre will showcase applications beyond the four pillars of Industry 4.0 - data analytics, robotics, 3-D printing and connectivity - to ""include technologies that can be adopted across the entire value chain encompassing product development, procurement and supply chain"".  The Singapore facility will offer companies at different stages of their Industry 4.0 transformations with the following help:  Among the many technology showcases on offer at the DCC, one will be on predictive maintenance. ""New technology today uses real time data to predict and prevent breakdowns and can reduce down time by 50 per cent. At the DCC, participants will learn about these new technologies and also pilot them on site, before applying them to their own setting. We think this approach can be transformational in the adoption of Industry 4.0,"" Mr Tonby said.  ARTC's Mr Low noted that Industry 4.0 is still a relatively new concept and not all companies are convinced of the value that these technologies can bring them.  Companies need to understand how they will be left behind if they do not adopt Industry 4.0, as the future of manufacturing will see a move towards the replacement of labour-intensive processes with disruptive technologies such as digital manufacturing, robotics and automation, he said, adding: ""To remain relevant, companies must identify and learn about the types of advanced technologies which can make a significant difference to their businesses, and open up new revenue streams.""  Mr Low added that with strong government support in this space, along with a well integrated ecosystem of relevant government agencies, researchers and the industry, Singapore is in a good position in the adoption of Industry 4.0.  Amendment note: An earlier version of this article stated that the Intellectual Property (IP) generated at the DCC would be jointly owned by ARTC and McKinsey. McKinsey has since clarified that it is unable to confirm who the IP would be vested with.",2017-03-31,"McKinsey & Company's new Singapore Digital Capability Centre (DCC), ... As new technologies such as robotics, digitalisation, IoT (Internet of ...","McKinsey, A*Star's ARTC to train workers on Industry 4.0 (Amended)",http://www.businesstimes.com.sg/government-economy/mckinsey-astars-artc-to-train-workers-on-industry-40-amended
10,"The city-state will also host an inaugural Defence Technology Summit in 2018 as it looks to become a global player in modern military advancements.  SINGAPORE: A starting seed grant of S$45 million a year will be given to two new laboratories in the Defence Science and Technology Agency (DSTA) and DSO National Laboratories organisations, Defence Minister Ng Eng Hen said in Parliament on Friday (Mar 3).    Modern militaries are powered by technology, and the next-generation SAF (Singapore Armed Forces), even more so, he said. Our defence technology organisations will gear up to support changes.    To foster more experimentation and innovation, DSO will set up a robotics lab in April this year and DSTA will expand to include an analytics and artificial intelligence lab.    At the former, defence engineers will collaborate on prototyping, integration, simulation and testing of systems prior to field trials for the SAF. The work on robotics has already begun, said Dr Ng. Six Singapore Infantry Regiment soldiers are currently experimenting with unmanned aerial and ground vehicles to perform missions. The Navy has gone further and is putting Unmanned Surface Vehicles which can navigate and avoid collisions autonomously into operations.    The SAF, working with the Ministry of Home Affairs, has already developed countermeasures to potential drone attacks. These systems were deployed in the last NDP (National Day Parade).    DSTAs new lab will exploit the real-time information that can be derived from the Internet of Things and platforms, said the minister.    The realisable potential is enormous. For instance, our Singapore Maritime Crisis Centre monitors more than 1,500 commercial shipping vessels in our waters daily. It uses AI to generate unique signatures for each, through collating information from multiple sources, including social media. It then detects any deviations from this signature, he explained.    This AI-embedded method detected a possible ISIS supporter on board a tanker in 2015. That person was barred from disembarking in Singapore. Finding this needle in a big haystack is only possible through modern means.    Singapore will also host an inaugural Defence Technology Summit in early 2018. Targeted as a biennial event, the summit will be organised by DSTA together with Singapores universities, A*STAR and Government agencies like GovTech, Cyber Security Agency of Singapore, National Research Foundation and Singapore Economic Development Board.    Singapore can lead in defence technology, even though we are small, said Dr Ng. The Summit will provide a global platform to invite leading figures and luminaries to come share their views, provide a window into the future, allow us the opportunity to network and increase our access to new ideas and innovation.    In his speech, Dr Ng also revealed that Singapore has around 5,000 defence engineers and scientists, with the number of related scholarships and awards on offer due to be increased by 40 per cent - up to 170 from 120 today - by 2025.",2017-03-02,"Singapore to invest S$45m a year in new defence tech labs for ... To foster more experimentation and innovation, DSO will set up a robotics lab ...",Singapore to invest S$45ma year in new defence tech labs for ...,http://www.channelnewsasia.com/news/singapore/singapore-to-invest-s-45m-a-year-in-new-defence-tech-labs-for/3565130.html
