,Contents,Date,Summary,Title,URL
0,"The research team at IBM recently announcedthey've reached a new industry record in speech recognition with a word error rate of 5.5% using the SWITCHBOARD linguistic corpus. This brings it closer to what's considered to be the human error rate of 5.1%. Humans typically miss one to two words out of every 20 words they hear. In a five-minute conversation, that could be as many as 80 words.  The research project includes applying deep learning technologies and incorporating acoustic models. The speech recognition model used Long Short Term Memory (LSTM) and WaveNet language models with a score fusion of three acoustic models. The acoustic models included aLSTM with multiple feature inputs, another LSTM trained with speaker-adversarial multi-task learning and a third model with a residual net (ResNet) with 25 convolutional layers and time-dilated convolutions.The last model learns from positive examples but also takes advantage of negative examples, so it performs better where similar speech patterns are repeated.  Yoshua Bengiofrom Montreal Institute for Learning Algorithms (MILA) Lab at University of Montreal commented about the speech recognition.  In spite of impressive advances in recent years, reaching human-level performance in AI tasks such as speech recognition or object recognition remains a scientific challenge. Indeed, standard benchmarks do not always reveal the variations and complexities of real data. For example, different data sets can be more or less sensitive to different aspects of the task, and the results depend crucially on how human performance is evaluated, for example using skilled professional transcribers in the case of speech recognition.  He also said IBM research helps with advancing speech recognition by applying neural networks and deep learning into acoustic and language models.  In other speech processing news, IBM added Diarization to their Watson Speech to Text service which helps with use cases like distinguishing individual speakers in a conversation. All these achievements help with introducing technologies that will match the complexity of how the human ear, voice and brain interact.",2017-03-31,The research team at IBM recently announced they've reached a new industry record in speech recognition with a word error rate of 5.5% using ...,Using Deep Learning Technologies IBM Reaches a New Milestone ...,https://www.infoq.com/news/2017/03/ibm-speech-recognition
1,"This story was delivered to BI Intelligence Apps and Platforms Briefingsubscribers. To learn more and subscribe, please click here.  IBM has taken the lead in the race to create speech recognition that's in parity with the error rate of human speech recognition.  As of last week, IBMs speech-recognition team achieved a 5.5% error rate, a vast improvement from its previous record of 6.9%.  Digital voice assistants like Apple's Siri and Microsoft's Cortana must meet or outdo human speech recognition  which is estimated to have anerror rate of 5.1%, according to IBM  in order to see wider consumer adoption. Voice assistants are expected to be the next major computing interface for smartphones, wearables, connected cars, and home hubs.  While digital voice assistants are far from perfect,competition among tech companies is bolstering overall voice-recognition capabilities, as tech companiesvie to outdo one another. IBM is locked in a race with Microsoft, which last year developed a voice-recognition system with an error rate of 5.9%, accordingto Microsoft's Chief Speech Scientist Xuedong Huang; this beat IBM by an entire percentage point.  Despite progress, however, existing methods to study voice recognition lack an industry standard. This makes it difficult to truly gauge advances in the technology. IBM tested a combination of Long Short-Term Memory (LSTM), a type of artificial neural network, and Google-owned DeepMinds WaveNet language models, against SWITCHBOARD, which is a series of recorded human discussions. And while SWITCHBOARD has been regarded as a benchmark for speech recognition for more than two decades, there are other measurements that can be used that are regarded as more difficult, like CallHome,"" which are more difficult for machines to transcribe, IBM notes. Using CallHome, the company achieved a 10.3% error rate.  Moreover, voice assistants need to overcome several hurdles before mass adoption occurs:  The Internet of Things (IoT) is growing rapidly as companies around the world connect thousands of devices every day. But behind those devices, theres a sector worth hundreds of billions of dollars supporting the IoT.  Platforms are the glue that holds the IoT together, allowing users to take full advantage of the disruptive potential of connected devices. These platforms allow the IoT to achieve its transformational potential, letting businesses manage devices, analyze data, and automate the workflow.  Peter Newman, research analyst for BI Intelligence, Business Insider's premium research service, has compiled a detailed report on the evolving IoT platform ecosystem. This reportsizes the market and identifies the primary growth drivers that will power the IoT platform space in the next five years. It also profiles many of the top IoT platforms by discussing key trends in the platform industry such asplatform consolidation.  Here are some of the key takeaways:  Interested in getting the full report Here are twoways to access it:",2017-03-14,"IBM has taken the lead in the race to create speech recognition that's in parity with the error rate of human speech recognition. As of last week, ...",IBM edges closer to human speech recognition,http://www.businessinsider.com/ibm-edges-closer-to-human-speech-recognition-2017-3
2,"  IBM recently announced that it reached a new industry record in conversational speech recognition, which could have big implications for the future of artificial intelligence (AI).  The IBM team's system achieved a 5.5% word error ratedown from 6.9% last year. The benchmark was measured on a difficult speech recognition task, with the machine deciphering recorded conversations between humans discussing day-to-day topics such as buying a car. This recording is known as SWITCHBOARD, and has been used for more than two decades to test speech recognition systems, according to a blog post by George Saon, a principal research scientist at IBM.  IBM used deep learning technologies to reach the 5.5% record. Researchers combined Long Short Term Memory (LSTM) and WaveNet language models with three acoustic models, according to the blog post.  ""Within the acoustic models used, the first two were six-layer bidirectional LSTMs. One of these has multiple feature inputs, while the other is trained with speaker-adversarial multi-task learning,"" Saon wrote. ""The unique thing about the last model is that it not only learns from positive examples but also takes advantage of negative examples - so it gets smarter as it goes and performs better where similar speech patterns are repeated.""  The previous record was set by Microsoft's Artificial Intelligence and Research group in October 2016, when researchers developed a system that they claimed recognized speech as accurately as a professional human transcriptionist, with a word error rate of 5.9%. However, Saon argued in his post that human parity is actually a 5.1% word error ratelower than any company has yet to achieve.  ""We're not popping the champagne yet,"" Saon wrote. ""While our breakthrough of 5.5% is a big one, this discovery of human parity at 5.1 percent proved to us we have a way to go before we can claim technology is on par with humans.""  SEE: How we learned to talk to computers, and how they learned to answer back  Reaching human-level performance in AI tasks such as speech or object recognition remains a scientific challenge, according to Yoshua Bengio, leader of the University of Montreal's Montreal Institute for Learning Algorithms (MILA) Lab, as quoted in the blog post. Standard benchmarks do not always reveal the variations and complexities of real data, he added. ""For example, different data sets can be more or less sensitive to different aspects of the task, and the results depend crucially on how human performance is evaluated, for example using skilled professional transcribers in the case of speech recognition,"" Bengio said.  Saon also noted that finding a standard measurement for human parity is a complex task as well. While many use SWITCHBOARD, another corpus called CallHome offers a different set of linguistic data created from colloquial conversations between family members, on topics that are not pre-arranged. These conversations are more difficult for machines to transcribe than those from SWITCHBOARD. IBM achieved a 10.3% error rate on this measure, but determined that human parity would be 6.8%.  ""The ability to recognize speech as well as humans do is a continuing challenge, since human speech, especially during spontaneous conversation, is extremely complex,"" said Julia Hirschberg, a professor and Chair at the Department of Computer Science at Columbia University, in the blog post. ""It's also difficult to define human performance, since humans also vary in their ability to understand the speech of others. When we compare automatic recognition to human performance it's extremely important to take both these things into account: the performance of the recognizer and the way human performance on the same speech is estimated.""  IBM's breakthrough could have major implications for the future of AI and the Internet of Things (IoT) in the enterprise, according to Mark Hung, research vice president and lead analyst of Internet of Things at Gartner.  ""With the proliferation of conversational AI platforms such as Alexa and Google Assistant, continued reductions in error rate will be imperative to drive greater adoption of speech as the UI for consumer and enterprise applications,"" Hung said.  IBM has recently made major investments in its Watson division, with a new $200 million global headquarters for Watson Internet of Things opening recently in Munich, Germany as part of a $3 billion investment in IoT that IBM pledged in 2014. IBM also recently added diarization to its Watson Speech to Text service, making it possible for the processor to distinguish individual speakers in a conversation.  1. Last week, IBM announced that it achieved a new industry record in speech recognition, with a 5.5% word error rate.  2. Last year, Microsoft claimed to have reached human parity with its speech recognition system's error rate of 5.9%, but IBM researchers argue that human parity would actually be 5.1%.  3. IBM's breakthrough could have implications for improving the use of artificial intelligence and the Internet of Things in the enterprise.",2017-03-13,"Why IBM's speech recognition breakthrough matters for AI and IoT ... that it reached a new industry record in conversational speech recognition, ...",Why IBM's speech recognition breakthrough matters for AI and IoT,http://www.techrepublic.com/article/why-ibms-speech-recognition-breakthrough-matters-for-ai-and-iot/
3,,2017-03-17,Germany's Federal Migration Office (BAMF) will use speech recognition software to establish where migrants entering the country have come ...,Germany to use speech recognition to establish migrant origins,http://www.politico.eu/article/germany-to-use-speech-recognition-to-establish-migrant-origins-refugees-asylum/
4,"Here at The Next Platform, we tend to focus on deep learning as it relates to hardware and systems versus algorithmic innovation, but at times, it is useful to look at the co-evolution of both code and machines over time to see what might be around the next corner.  One segment of the deep learning applications area that has generated a great deal of work is in speech recognition and translationsomething weve described in detail via efforts from Baidu, Google, Tencent, among others. While the application itself is interesting, what is most notable is how codes and systems have shifted to meet the needs of new ways of thinking about some of the hardest machine learning problems. And when we stretch back to the underpinnings of machine translation and speech recognition, IBM has some of the longest historyeven if that history doesnt have a true deep learning element in relatively recently.  In his 36 years at IBM focusing on speech and language algorithms, Michael Picheny, senior manager for IBMs Watson Multimodal division (an area that focuses on language and image recognition, among other areas), much has changed for both code and the systems required to push speech recognition. While IBM, like many others doing deep learning at scale, has also landed in the large-scale deployment of GPUs for neural networks, the path to that point was long and complex. It is just in the last few years that the critical combination of advanced neural network models and the hardware to run them in real-time and at scale have been made available. And this one-two punch has shifted IBMs approach to speech algorithmic development and deployment.  Picheney says that back when he joined IBM, they were the only company doing speech analysis and recognition with statistical and computational approaches. Others were focused on physical modeling of the underlying processes in speech. They were the only ones solving the problem with compute and mathematical techniques, it was the neatest thing Id ever seen. His early speech recognition work at IBM was done on large mainframes entirely offline, an effort that was later deployed on three separate IBM minicomputers working in parallel to achieve real-time performancea first of its kind capability. Then, in the early 1980s, came the IBM PCs, which could have custom accelerators lashed on until the 1990s, when the work could be done entirely on a CPU. Speech recognition teams in Pichenys group have come full circle to accelerator cards with a reliance on GPUs, which he says are a spot-on architecture for speech, even if there are some limitations hardware-wise on the horizon for the next level of speech recognition using deep learning models.  Code-wise, much has changed for IBM when it comes to speech recognition. Picheny says that earlier systems were a combination of four componentsa feature extractor, acoustic model, language model, and speech recognition engine or decoder. As neural networks evolved, both internally and in the larger ecosystem (Caffe, TensorFlow, etc.), these components have been fused and merged, creating a master modelone that requires significant computational resources and scalability from both hardware and software. Back then, he explains that it was difficult to create an architecture that would run all of these different elements efficiently since they all had their own optimization and other features.  What we are seeing over time is that deep learning methods seem to be taking over more of the speech recognition functions. Bit by bit, deep learning structures and mechanisms are replacing older mechanisms that made it harder to do the heavy duty scaling. In the next couple of years, perhaps longer, we will see deep learning architectures used for all components of speech recognitionand image as well.  He notes that over time too, it might be possible for these many functions to be packaged into a single special purpose chip to make it even easier to scale.  People working in deep learning have become very agile in what theyve learned to do. The field is moving so fast; there are advances in one framework, another in a different oneall of the deep learning packages have their pros and cons, especially for speechWeve worked with all the major packages, some are better than others, but I dont want to say which. But we also have built a good bit of our own code, Picheny says.  For speech, IBM has its own custom-developed neural network models that feed into Watson (which is still a nebulous thing hardware and software-wise, were still working on that story), For these models, the drivers are computation speed and memory. As it turns out, these are the biggest limitations as well, particularly on the memory front.  GPUs are very fast but limited in memory. Thats where the bottleneck is for training on huge quantities of speech. Theres advantage in keeping everything on local memory on the GPU versus fetching it off the chip. And there are algorithms where people are trying to combine results across multiple GPUs, which means making performance tradeoffs for that level of parallelization. What we really want are faster GPUs with more memory.  Aside from custom ASICs just for speech, we asked Picheny about other architectures that seem to be getting traction in deep learning outside of pure-play deep learning chips from companies like Nervana Systems (now part of Intel). One of the likely candidates for speech acceleration could be neuromorphic devicesand IBM has developed its own (TrueNorth). There is a lot of work on neuromorphic architectures but the limitation of these chips, even though they do fascinating things, is that you have to program them far differently than a GPU. And with a GPU there are big communities of people writing special purpose libraries. The limitation is that the people developing their algorithms dont want a new way of programming what theyre already doing.  FPGAs have a similar problem, Picheny says, but are more of an intermediate solution, but programming is still not easy. He says the availability of a rich array of libraries in the GPU CUDA ecosystem is the reason deep learning will continue to be done on GPUs in this middle period before we might see specialized chips just for this task.  On the note above about Watson being nebulous: Pichney agrees that it is hard to pin down just how many different frameworks and models are part of Watsons overall AI umbrella, but this is not by design. Everything is evolving so quickly, especially in the last two years. He says that what Watson was in the beginning, just as with his own speech recognition algorithms and clusters, isnt the same now. While we might not get answers from IBM about just how many components Watson encapsulates and what hardware is required to make it all work for key applications, one can image that Pichenys story about the merging and fusing of various components into master networks with specialized functionality might ring equally true for Watson.",2017-04-07,"And when we stretch back to the underpinnings of machine translation and speech recognition, IBM has some of the longest history—even if ...",From Mainframes to Deep Learning Clusters: IBM's Speech Journey,https://www.nextplatform.com/2017/04/07/mainframes-deep-learning-clusters-ibms-speech-journey/
5,,2017-03-22,Sara Murphy and Hailey Gentz will represent Osage High School at the IHSSA All-State Individual Speech Festival when Murphy performs ...,Students receive All-State Speech recognition,http://globegazette.com/mcpress/news/local/students-receive-all-state-speech-recognition/article_d4012565-a271-58b0-ad4d-8b3ca3af7187.html
6,"Xiaomi at the beginning of 2017 showcased its new Mi TV 4 series at the CES 2017 trade show. The company is now upgrading the TV 4 series, and introducing its all-new Mi TV 4A series in China.  The all-new Mi TV 4A will be marketed as a smart TV with AI-based speech recognition. The new MI TV 4A series include four screen-sizes - 43, 49, 55, and 65-inches, and they will be available in AI with speech recognition and non-AI variants. The basic Mi TV 4A 43-inch (1080p) model will be priced at CNY 2,099 (roughly Rs. 20,000) while the 49-inch (1080p) model will be priced at CNY 2,599 (roughly Rs. 24,750). The Mi TV 4A 55-inch and 65-inch 4K models have been priced at CNY 3,199 (roughly Rs. 30,500) and CNY 5,699 (roughly Rs. 54,000).  The 49, 55, and 65-inch models will be also available in with AI Speech Recognition as well as come with new Mi Bluetooth Remote Control. The Mi TV 4A 49-inch (1080P) 32GB AI model has been priced at CNY 2,899 (roughly Rs. 27,500); Mi TV 4A 55-inch (4K) 32GB AI variant will be available at CNY 3,599 (roughly Rs. 34,000), and Mi TV 4A 65-inch (4K) 32 GB AI variant will be available at CNY 6,199 (roughly Rs. 59,000).  The third-generation Mi Bluetooth Remote Control has been priced at CNY 99 (roughly Rs. 1,000), and will come with Bluetooth, Speech Recognition, Mi Touch, and Infrared features.  At launch, Xiaomi talked how Mi Touch has replaced the traditional navigation button on the remote control, and lets you use gestures to control your TV. The Chinese company claimed that the feature will come in handy while searching or browsing on a long webpage.  Much like the Mi TV 4 series, the new Mi TV 4A series also features AI (artificial intelligence) based recommendations UI called PatchWall. Notably, the PatchWall is a UI layer on top of the Android OS and it is based on deep learning AI technology.  The Mi TV 4A series is powered by a quad-core Amlogic T962 64-bit processor coupled with 2GB of RAM and comes with 32GB ROM. Connectivity options include Wi-Fi 802.11ac (2.4/5 GHz dual band Wi-Fi), Bluetooth 4.2, Dolby, and DTS Audio. The Mi TV 4A also sports a blue light-reducing mode to reduce eye strain problem. The processor on the Mi TV 4A series also supports HDR 10 and HLG.  In terms of screen resolution, the Mi TV 4A 1080p models offer screen resolution of 1080x1920 pixels, and will sport Samsung/ LG/ AUO/ CSOT panel while the 4K models will boast of a screen resolution of 3840x2160 pixels with Samsung/ LG/ CSOT panel.  Xiaomi's Wang Chuan, Dirrector for Internet TV related products such as Mi TV and Mi Box, at the launch claimed that the company's deep learning AI system will understand user preferences and intelligently classify content. Chuan added that Xiaomi started working on AI speech recognition three years back, and it lets users control and interact with the TV. Xiaomi revealed that it uses Sogou ASR speech recognition technology which is claimed to have an accuracy of up to 97 percent.  Unfortunately, the Chinese company hasn't revealed plans to launch the new Mi TV 4A series outside China.",2017-03-23,The all-new Mi TV 4A will be marketed as a smart TV with AI-based speech recognition. The new MI TV 4A series include four screen-sizes - 43 ...,Xiaomi's Mi TV 4A Series Launched With AI-Based Speech ...,http://gadgets.ndtv.com/tv/news/xiaomis-mi-tv-4a-series-launched-with-ai-based-speech-recognition-1672577
7,"Verint Systems Inc. (VRNT) today announced that a large municipal transportation authority in the U.S. will implement the voice self-service and speech recognition solutions from its Customer Engagement Optimization portfolio.  When this transportation authority sought new solutions to support its move from an on-premises to cloud environment, as well as to advance key compliance needsincluding functionality to support the Payment Card Industry Data Security Standard (PCI DSS)it turned to Verint.* The authority also wanted to ensure the technology it selected would enable it to enhance security and further the success of its prepaid card program that enables citizens to reload their transit cards through voice self-service.  When deployed, the software solutions will be integrated with the authoritys contact center and back-end data systems, and will help deliver timely, high-quality voice self-service to improve citizen experiences, achieve higher completion rate goals, and decrease transfer rates and cost per contact. The authority and citizens it serves also will benefit from the solutions personalization capabilities, which help reduce typical consumer frustration with voice self-service systems.  This U.S. transportation authority selected our solutions based on our cloud environmentwhich it deemed more secure than its legacy offeringand our long history and success working with state government programs, says Michael Southworth, general manager, voice self-service and government solutions, Verint. Today, we support more than 60 programs in 44 states, reinforcing our experience and dedication to the market and local government agencies.  Verint (VRNT) is a global leader in Actionable Intelligence solutions with a focus on customer engagement optimization, security intelligence, and fraud, risk and compliance. Today, more than 10,000 organizations in approximately 180 countriesincluding over 80 percent of the Fortune 100count on intelligence from Verint solutions to make more informed, effective and timely decisions. Learn more about how were creating A Smarter World with Actionable Intelligence at www.verint.com.  * The transportation authority purchased the Verint solutions in November 2016 and plans to roll the technology out in the first half of this year.  This press release contains forward-looking statements, including statements regarding expectations, predictions, views, opportunities, plans, strategies, beliefs, and statements of similar effect relating to Verint Systems Inc. These forward-looking statements are not guarantees of future performance and they are based on management's expectations that involve a number of risks, uncertainties and assumptions, any of which could cause actual results to differ materially from those expressed in or implied by the forward-looking statements. For a detailed discussion of these risk factors, see our Annual Report on Form 10-K for the fiscal year ended January 31, 2016, our Quarterly Report on Form 10-Q for the quarter ended October 31, 2016, and other filings we make with the SEC. The forward-looking statements contained in this press release are made as of the date of this press release and, except as required by law, Verint assumes no obligation to update or revise them or to provide reasons why actual results may differ.  VERINT, ACTIONABLE INTELLIGENCE, MAKE BIG DATA ACTIONABLE, CUSTOMER-INSPIRED EXCELLENCE, INTELLIGENCE IN ACTION, IMPACT 360, WITNESS, VERINT VERIFIED, KANA, LAGAN, VOVICI, GMT, VICTRIO, AUDIOLOG, CONTACT SOLUTIONS, OPINIONLAB, ADTECH, CUSTOMER ENGAGEMENT SOLUTIONS, CYBER INTELLIGENCE SOLUTIONS, VOICE OF THE CUSTOMER ANALYTICS, NEXTIVA, EDGEVR, RELIANT, VANTAGE, STAR-GATE, ENGAGE, CYBERVISION, FOCALINFO, SUNTECH, and VIGIA are trademarks or registered trademarks of Verint Systems Inc. or its subsidiaries. Other trademarks mentioned are the property of their respective owners.",2017-03-23,... a large municipal transportation authority in the U.S. will implement the voice self-service and speech recognition solutions from its Customer ...,Large Municipal Transportation Authority to Implement Voice Self ...,http://finance.yahoo.com/news/large-municipal-transportation-authority-implement-123000881.html
8,"Market Research Report on the Automatic Speech Recognition Market analyzed two aspects. One part is about its production and the other part is about its consumption. In terms of its production,analyze the production, revenue, gross margin of its main manufacturers and the unit price that they offer in different regions from 2012 to 2017. In terms of its consumption,analyze the consumption volume, consumption value, sale price, import and export in different regions from 2012 to 2017.Also make a prediction of its production and consumption in coming 2017-2022.  At the same time,classify different Automatic Speech Recognition based on their definitions. Upstream raw materials, equipment and downstream consumers analysis is also carried out. Wha is more, the Automatic Speech Recognition industry development trends and marketing channels are analyzed.  1. To provide detailed analysis of the market structure along with forecast of the various segments and sub-segments of the global Automatic Speech Recognition market.  2. To provide insights about factors affecting the market growth. To analyze the Automatic Speech Recognition market based on various factors- price analysis, supply chain analysis, porte five force analysis etc.  3. To provide historical and forecast revenue of the market segments and sub-segments with respect to four main geographies and their countries- North America, Europe, Asia, and Rest of the World.  4. To provide country level analysis of the market with respect to the current market size and future prospective.  5. To provide country level analysis of the market for segment by application, product type and sub-segments.  6. To provide strategic profiling of key players in the market, comprehensively analyzing their core competencies, and drawing a competitive landscape for the market.  7. To track and analyze competitive developments such as joint ventures, strategic alliances, mergers and acquisitions, new product developments, and research and developments in the global Automatic Speech Recognition market.  Other manufacturers you interested in can be added to the report by us.  Finally, the feasibility of new investment projects is assessed, and overall research conclusions are offered.",2017-04-05,Automatic Speech Recognition Market Market Research Report on the Automatic Speech Recognition Market analyzed two aspects. One part ...,Global Automatic Speech Recognition Market Forecast Research ...,http://www.technologynewsextra.com/global-automatic-speech-recognition-market-forecast-research-report-2017-2022/10416.html
9,"Xiaomi has a lot in store for us. After putting the Redmi 4A with 4G VoLTE support on sale, Redmi 4X, Mi 5C, that selfie stick, and the Pinecone processor, Xiaomi has just rolled out a new Mi TV product. The Mi TV 4A is a new smart TV that comes with AI speech recognition.The Mi TV 4A starts with an affordable price of only 2099 which is roughly $304 in the US.  This new TV takes advantage of an original Samsung/LG/AUO/CSOT panel and comes equipped with a high-performance Quad-core 64-bit processor, 2GB RAM, 8GB ROM/32GB ROM, WiFi, and Bluetooth 4.2 connectivity. The product already supports HDR 10 and HLG, Dolby and DTS Audio, and features a deep learning artificial intelligence (AI) system. The AI variants will even arrive with a special Mi Bluetooth Remote Control but is sold separately for only 99($14).  The Xiaomi Mi TV 4A will be ready in four sizes: 43, 49, 55, and 65. Both the 43- and 49-inch models have 1080p displays but only the latter has a 32GB AI variant. The Mi TV 4A 43 costs 2099($304) while the 49 (1080P) costs 2599($377) or2899($420) for the AI variant. The bigger and 4K models, the 55-inch and 65-inch Mi TV 4As are priced 3199($467)/3599($522) and 5699($837)/6199($899), respectively.  The Mi TV 4A is targeted for the whole family. Young kids and the elderly can enjoy it because it is easy to navigate and is fun to use. The AI system is important because it learns and understands your preferences and follows personalized recommendations.",2017-03-21,The Mi TV 4A is a new smart TV that comes with AI speech recognition. The Mi TV 4A starts with an affordable price of only ￥2099 which is ...,Xiaomi unveils new Mi TV 4A with AI speech recognition,https://androidcommunity.com/xiaomi-unveils-new-mi-tv-4a-with-ai-speech-recognition-20170321/
