,Contents,Date,Summary,Title,URL
0,"Computers are playing spot the difference in the Serengeti. An image-recognition algorithm that can identify different species could make it easier to track animals in the wild.  Using a database of 3.2 million photos taken by hidden camera traps in the Serengeti National Park in Tanzania, Jeff Clune at the University of Wyoming in Laramie and his colleagues trained the deep-learning system to distinguish between 48 animal species, such as elephants, giraffes and gazelles. In tests, it correctly identified the species present in an image 92 per cent of the time.  Camera traps automatically take pictures of passing animals when triggered by heat and motion. This produces thousands or millions of photographs for ecologists to study, but people usually have to go through and label what each picture shows by hand, says Ali Swanson, who worked on the project while at the University of Oxford. If an algorithm could categorise at least some of the images, it could save a lot of time.  In 2010, Swanson set up 225 camera traps in the Serengeti, inviting an army of 70,000 online volunteers to help label the images. When Clune heard about this, he saw a perfect opportunity for deep learning  so he and Swanson arranged to team up on the project.  Right now in AI and deep learning, one of the hardest things to come by is a very good, large labelled dataset, says Clune.  His team started by teaching a neural network to recognise whether an image contained an animal, which 75 per cent of the Serengeti images lack. The researchers then trained it to differentiate between species.  The system is much better at identifying the most common animals in the data set, such as wildebeest, says Clune. It has trouble with more rare species like the zorilla, a type of polecat that only appears in the images a few dozen times.  Clune says the system could be used to classify most of the photographs and researchers could work on any it wasnt sure about. It could then be further trained on these hand-labelled images to get better at recognising rarer species. The team also plans to test whether the system can identify animal behaviour in images.  This is very exciting, says Chris Carbone at the Zoological Society of London. Automatic species recognition could help us learn more about the distribution of species and get a better idea of the impact humans are having on them, he says.  An ideal system would provide live tracking information about animals as they pass traps, says Swanson. But the challenge would be transmitting the data from the device in real time for the system to analyse, rather than the current method of using an SD card to store the data on the device until a researcher comes along to collect it.  One difficulty is that hyenas and elephants have a habit of damaging the cameras, which are thus kept in heavy-duty plastic cases with no space for an antenna that can transmit data. And if you do put an antenna on a camera, it wont last very long at all, says Swanson. Something will come along and chew it off pretty quick.",2017-04-11,"When Clune heard about this, he saw a perfect opportunity for deep learning – so he and Swanson arranged to team up on the project.",Deep learning tells giraffes from gazelles in the Serengeti,https://www.newscientist.com/article/2127541-deep-learning-tells-giraffes-from-gazelles-in-the-serengeti/
1,"A new deep learning method, DeepCpG, designed by researchers at EMBL-EBI, the Babraham Institute and the Sanger Institute helps scientists better understand the epigenome  the biochemical activity around the genome. Published in Genome Biology, DeepCpG leverages deep neural networks, a multi-layered machine learning model inspired by the brain. Machine learning provides a valuable tool for research into health and disease.  Deep learning is one of the most active fields in machine learning, which has led to recent advancements in computer image classification, text translation and speech recognition. But deep learning also has major potential in computational biology, particularly for regulatory genomics and cellular imaging.  Nice book. But what does it mean  We now have this amazing book of the human genome, thanks to projects like 1000 Genomes, divided up nicely into chapters and annotated in parts. But what does it mean If we want to really understand how life works, we need to decipher both the genome  the set of instructions repeated in every cell  and the epigenome, the part that varies wildly between cells, explains Oliver Stegle group leader at EMBL-EBI.  To better understand how DNA sequences relate to biological changes, the genomics community is turning to artificial neural networks  a class of machine learning methods first introduced in the 1980s and inspired by the wiring of the brain. More recently, these models have been rebranded as deep neural networks, which form the field of deep learning.  A recent review of deep learning for Molecular Systems Biology provides a user guide to how deep learning can be applied in genomics  an area of rapid technological change.  Single-cell genomics allows us to generate a huge amount of highly detailed information about the genome and all the activity happening around it, in many different types and subtypes of cells. The complexity is simply staggering, and the idea of explicitly probing each of these potential interactions individually is not really workable, says Stegle.  Most existing methods require you to know a lot up front, for example which patterns in the DNA sequence are informative for a specific task. However, there is a huge number of possible patterns in the genome that we could explore, so these existing methods are not practical for genomics, adds Christof Angermueller, PhD candidate at EMBL-EBI. With deep learning, you do not have to spend your time on manually crafting features that capture these patterns. Instead, the model uses raw DNA sequences as input and discovers relevant patters itself.  The team leveraged the capacity of deep learning to fill in the gaps in single-cell genomics, an emerging technology that offers a close-up view on epigenetics.  DeepCpG was designed to help scientists learn about the connections between DNA sequences and DNA methylation  a biochemical modification of the genome sequence that can act like an off-switch for individual genes. Methylation plays a key part in important biological processes, including cell development, ageing and cancer progression.  The new method uses genomic and epigenomic data to make predictions about DNA methylation in single cells. This is important because current technologies provide incomplete information about this. With DeepCpG, researchers can obtain a more complete picture of DNA methylation. The model can also be used to obtain new biological insights, for example on the connection between the DNA sequence and methylation.  DeepCpG actually learns meaningful features in a data-driven manner, says Angermueller. It has major advantages over previous methods, including the ability to more accurately predict DNA methylation and to study intercellular differences. By studying the wiring of the learnt network, we can understand how the biology of DNA methylation works. This has allowed us to recover known DNA sequence motifs that are important for methylation changes, as well as to discover new motifs, which are the starting point for future studies.  We have demonstrated that DeepCpG enables to accurately predict and analyse DNA methylation in single cells. However, DeepCpG is just one example of how we can apply deep learning to genomics and single-cell technologies, says Stegle. It is exciting to see the versatile applications deep learning has already found in genomics. I am looking forward to seeing more deep learning techniques come online. I believe it will make a big difference to how we study biology and has the potential to yield new answers about how life works.  Single cell epigenomics methods provide exciting insights into cell heterogeneity in development, ageing and disease; however if you are just dealing with two genomes (in a single cell) bits of information are often lost during the experiment, explains Wolf Reik of the Babraham Institute Wolf Reik of the Babraham Institute and Associate Faculty member at the Sanger Institute. This new method recognises patterns of the epigenome in single cells and then reconstructs lost information, returning a data-rich single cell epigenome.  ""Deep learning is now the state-of-the art in many fields. We are exploring its utility for making sense of large scale biological data. Pioneering studies, such as the one by Angermueller and colleagues, prove that there is lot to be gained by using deep learning methods in computational biology, concludes Leopold Parts, Group Leader at the Sanger Institute.  Angermueller, C., Lee, H., Reik, W., & Stegle, O. (2017). Accurate prediction of single-cell DNA methylation states using deep learning. bioRxiv, 055715.  ",2017-04-12,"A 'new deep learning' method, DeepCpG, designed by researchers at EMBL-EBI, the Babraham Institute and the Sanger Institute helps ...",Deep Learning: Accelerating Single-cell Genomics,https://www.technologynetworks.com/tn/news/deep-learning-tech-will-open-up-the-epigenome-287581
2,"April 11, 2017 Nimbix announced today the immediate availability of high-performance NVIDIA PascalGPUs using the NVIDIA DGX-1AI supercomputer in the Nimbix Cloud. For an on-demand rate, customers gain access to the industry-leading native bandwidth of eight NVIDIA NVLinkinterconnected NVIDIA Tesla P100 GPUs to launch or develop state-of the-art machine learning workflows, accelerated analytics and a host of other GPU-powered applications.  The Nimbix Cloud offers the most diverse set of GPU-powered machines available from a public cloud provider, spanning the NVIDIA portfolio and supporting configurations for both Intel x86 and IBM Power8 processors to deliver the best performance and economics available for both enterprises and developers. Nimbix Cloud machines are interconnected with industry-leading 56Gbps FDR and 100Gbps EDR Infiniband for optimal GPU cluster performance.  Nimbix has tremendous experience in GPU cloud computing, going all the way back to NVIDIAs Fermi architecture, said Steve Hebert, CEO of Nimbix. We are looking forward to accelerating deep learning and analytics applications for customers seeking the latest generation GPU technology available in a public cloud.  Combining the optimized performance of NVIDIA DGX-1 with Nimbixs cloud platform provides customers a flexible option to run their most challenging deep learning and AI workloads in an easy to use cloud system, said Charlie Doyle, senior director for DGX-1, NVIDIA.  In addition to the rich catalog of DGX turn-key workflows for deep learning, developers can use the PushToComputeTM feature of the JARVICE platform to import the latest versions of their custom applications into the Nimbix Cloud and make them available for consumption at scale immediately. Each application, along with its dependencies, executes in JARVICEs container runtime environment, which provides superior performance and scale. This includes sub-second launch times, faster execution, seamless access to supercomputing GPUs, automated heterogeneous data management, and rapid workflow deployment across multiple compute nodes either in a parallel or distributed paradigm. PushToComputeTM also facilitates continuous integration and continuous deployment (CI/CD) for the entire life cycles of containerized applications.  Nimbix is the leading provider of purpose-built cloud computing for machine learning, AI and HPC applications. Powered by JARVICE, the Nimbix Cloud provides high-performance software as a service, dramatically speeding up data processing for Energy, Life Sciences, Manufacturing, Media and Analytics applications. Nimbix delivers unique accelerated high-performance systems and applications from its world-class data centers as a pay-per-use service.",2017-04-11,We are looking forward to accelerating deep learning and analytics applications for customers seeking the latest generation GPU technology ...,Nimbix Cloud Adds Nvidia DGX-1 Servers for Deep Learning,https://www.hpcwire.com/off-the-wire/nimbix-announces-next-gen-gpus-cloud-based-deep-learning/
3,"Todays financial services companies must continually strive to gain a competitive edge in a highly data-intensive industry. With the emergence of big data, firms are struggling to manage the onslaught of complex data from many sources, stay on top of evolving regulations, and boost data security. High performance computing (HPC) technologies are not only helping financial firms ease the pains associated with explosive data growth, but they are also becoming absolutely essential to survival.  Emergent technologies and new HPC innovations to hit the financial sector were the focus of the 14th annual HPC on Wall Street event held earlier this week in New York City. The one-day show and conference brings together key FinTech players, financial industry experts, and capital markets IT providers to promote a discussion of the latest technological advances in the realm of financial HPC.  Each year, the show features a variety of networking opportunities, exhibits, expert panel discussions, and keynote speeches meant to help financial CIOs learn about new technologies, discuss industry trends and developments, and collaborate with experts that can help them address their biggest IT challenges.  This year, Hewlett Packard Enterprise (HPE) teamed up with SUSE and Intel to host a keynote session entitled HPC Innovation for the FSI Market. The keynote, which was delivered by Lacee McGee, Senior Product Manager for FSI Vertical Solutions at HPE and Natalia Vassilieva, a Senior Research Manager at HP Labs, as well as representatives from SUSE and Intel, concentrated on ways that financial organizations can begin their journeys into game-changing technologies like artificial intelligence (AI) and deep learning. Adoption of these emerging technologies is beginning to proliferate among companies in this sector, a fact which served as a persistent theme throughout the conference.  As McGee recently explained to EnterpriseTech, simply getting started can be the most difficult part for financial companies when it comes to implementing AI and deep learning technologies. While larger enterprises may have broader capital budgets and IT expertise, small and mid-sized businesses (SMBs) sometimes hesitate to take the plunge for a variety of reasons, including cost, lack of IT expertise, shortage of trained staff, or insufficient server infrastructure. McGees advice for SMBs was to start slow, and begin by having a trusted IT vendor package small amounts of AI and deep learning on familiar hardware. This gradual approach, meant to allow SMBs to grow with the technology and progressively increase their familiarity with these technologies, can help them ease the transition to more optimal solutions in the future.  The presentation also touched on the broadening demand for code modernization tools that can help quantitative analysts circumvent the steep learning curve associated with todays multi-core processor architectures. The HPE Quantitative Finance Library was recently introduced to address these challenges, a solution that modernizes application software using a productivity tool that generates highly parallelized source code for multi-core, multi-thread platforms. This helps quants exploit the advantages of the latest Intel Xeon Phi processors more quickly and with less time spent away from critical business activities.  Theres no denying that HPC has become essential to survival in the financial services industry. As data growth continues to bring new challenges and increased complexity to the financial services industry, HPC solutions are offering unprecedented levels of speed and efficiency, as well as whole new ways of doing business. Visit the HPC for Wall Street website for additional conference information and press coverage. You can also follow me on Twitter at @VineethRam to stay informed about the latest technologies and HPC finance innovations impacting the industry. We hope to see you at next years event!",2017-04-10,"McGee's advice for SMBs was to start slow, and begin by having a trusted IT vendor package small amounts of AI and deep learning on familiar hardware.",AI and Deep Learning Come to Wall Street,https://www.hpcwire.com/solution_content/hpe/financial-services/ai-deep-learning-come-wall-street/
4,"Japan joined the artificial intelligence race late. It was not until the mid-1980s, three decades later than countries like the United States, that researchers began pondering the idea of thinking machines. Japanese companies and universities are now increasingly pouring resources into unlocking the secrets of deep learning. The countrys slow start and scarcity of AI experts, however, has hindered progress, as illustrated by the lack of breakthroughs to date.  In March 2016 AlphaGo became the algorithm heard around the globe. In a best-of-five series in Seoul, South Korea, the go-playing program developed by Googles DeepMind soundly defeated Lee Sedol, a leading international player, 41, effectively dethroning humanity inone of the few remaining arenas where it ruled over artificial intelligence. While the ground-breaking achievement has shown a spotlight on the rapid advances in machine learning, AI is actually a rather mature concept with a long history encompassing a broad variety of technologies.  The desire to build machines with humanlike intelligence began with the accomplishments of British mathematician Alan Turing, who during World War II laid the groundwork for digital computing by developing the first electromechanical calculating device. His code-breaking machine and seminal 1947 work Intelligent Machinery inspired scientists to consider the potentials of AI. The term artificial intelligence was coined in 1956 at the pivotal Dartmouth Artificial Intelligence Conference. Japanese researchers were not among the diverse experts in attendance at that influential gathering, and it was not until 1986, three decades later, that the Japanese Society for Artificial Intelligence was formed to study AI.  Turings notions of machine intelligence encompassed such broad notions as neural networks, something I call first-generation AI. However, the JSAI was created in response to a fresh wave of debate focusing specifically on signal and information processing. More than 90% of AI researchersincluding those in Japan, where funding has steadily increasedare engaged in exploring these systems, whichI term second-generation AI. This rapidly developing field has already produced such innovations as the World Wide Web and Googles search engine.  One rapidly developing area of AI is machine learning. The idea of constructing algorithms able to analyze data and learn to make decisions and predictions based on results is not new. However, the field sat on the back burner of AI research for want of computers capable of making the necessary computations. Since the early 2000s, though, the emergence of increasingly powerful computers have enabled great strides in what is known as deep learning, making it possible to create large, multilayered artificial neural networks able to process vast amounts of data. I consider this to be third-generation AI.  While computers have improved, the lack of activity in machine learning during the 1990s has resulted in a grave shortage of experts in the field. The scarcity is particularly acute with deep learning and has forced tech giants like Alphabet (Google), Facebook, Microsoft, and Baidu to actively court and handsomely compensatesuitably capable researchers.  Japan has especially felt the pinch of the diamondlike rarity of deep learning experts. The situation is so dire, in fact, that there is hardly a domestic university or research organization with a dedicated researcher on staff.  Efforts are underway to address this paucity and a rapidly growing number of institutes are moving to offer research programs in deep learning. The problems, however, is that many of the top professors influencing the direction of programs are themselves little better than novices in the field, having spent most of their careers studying second-generation AI. In addition, views among those specializing in machine learning and deep learning frequently vary, making it difficult for institutes to decide how to best direct resources.  As a result, Japanese researchers seem stuck in neutral while their counterparts in China, Europe, and the United States rush ahead in producing a steady string of breakthroughs. My interactions with academia have left me wondering whetherthe rigid thinking at Japanese universities is promoting a derisive view of deep learning, robbing it of the serious consideration it deserves.  As an illustration, I was asked by the Ministry of Economy, Trade, and Industry to help plan two sessions on deep learning for the annual JSAI symposium in June 2016. During discussions about possible titles for the meetings, one academic quipped that no one would consider attending sessions featuring the term deep learning. As astonishing a statement as this was, it showed me the lack of regard many Japanese researchers have for cutting edge AI.  It is certainly true that deep learning represented only a small fraction of the topics covered at the symposium. One must also bear in mind that the JSAI gathering preceded Google releasing its revolutionary neural machine translation system.  Introduced in November 2016, the system foregoes standard models of natural language processing and instead uses an artificial neural network that over time learns from countless examples how to produce better translations. Although a relatively straightforward concept, the subsequent sharp improvement in the capabilities of Google Translate has left Japanese researchers gaping in awe.  In Japan the lions share of resources are directed toward studying natural language processing and machine translation. Researchers of second-generation AI have focused on unraveling the structure of intelligence with a view that it can be logically understood and recreated. As such, they have placed high value on analyzing the natural patterns of language as a means of unlocking the workings of the human mind.  The quality and accuracy of translations produced by the end-to-end approach of Googles neural machine translation system, however, have turned this method on its head. Researchers in Japan have to accept the possibility that Googles algorithm presents a revolutionary way forward or face the prospect of continuing down a dead-end road.  A similar ground-breaking dynamic can be seen behind DeepMinds approach in developing AlphaGo.  DeepMind developed the program to learn via two deep neural networks: a value network that evaluates the state of the game and a policy network that guides what actions to take. It then boosted the playing ability of the algorithm by having it study records of past matches and pitting the two networks against one other, a method it calls deep reinforcement learning.  Prior to AlphaGo, designers of go-playing AI took a fairly straightforward approach, arming programs with the rules and tactics and focusing on devising ways of winning against professionals. While significant progress was made, no AI capable of matching the wily skills of leading human players emerged.  Like a shot out of the blue, though, the relatively unknown DeepMind swooped in to claim the holy grail of computer go. Since then, leading IT companies in Japan and China like Dwango and Baidu, along with amateur programmers, have been emboldened to test their algorithms at various AI go competitions. On the other hand, Japans University of Electro-Communications shuttered its UEC Cup Computer Go tournament in the wake of AlphaGos victory, hosting the decade-old event for the final time in March 2017.  DeepMind has not grown indolent in its success but is maneuvering to take the lead globally with a string of newly developed technologies. Domestically, companies such as Yahoo Japan and Dwango, along with emerging firms like Preferred Networks, are pouring resources into deep learning. Meanwhile, major manufacturers including Toyota and FANUC are continuing to invest in AI. This is heartening to see, and I hope their efforts will net real dividends in the near future.",2017-04-11,Japanese companies and universities are now increasingly pouring resources into unlocking the secrets of deep learning. The country's slow ...,Deep Learning's Rise Leaves Japan Playing AI Catchup,http://www.nippon.com/en/currents/d00307/
5,"Science fiction has always provided an outlet where we can let our imaginations run wild about the possibilities of technological advances. Not long ago, science fiction concepts like self-aware robots, autonomous cars, or 3D printers may have been unimaginable, but were watching many of these things come to life before our eyes in the digital age.  Deep learning was previously a technology that seemed straight from the plot of the latest blockbuster, yet these days its no longer fiction and is proliferating across real-life applications. Deep learning, which falls under the umbrella of technologies known as artificial intelligence (AI), teaches machines to mimic the thought and decision-making processes of the human brain. Computers are trained using extremely large historical datasets to help them adapt and learn from prior experience, identify anomalous patterns in large datasets, and improve predictive analysis.  These techniques are becoming so popular that Gartner recently named AI and Advanced Machine Learning (which includes technologies such as deep learning) their #1 Strategic Technology Trend for 2017. The firm went on to predict that these technologies will begin to increasingly augment and extend virtually every technology-enabled service, thing, or application, and therefore will become the primary battleground for technology vendors through at least 2020.  The broadening availability of deep learning tools is helping to move these technologies beyond elite academic and research environments and into the everyday enterprise. Today, deep learning techniques are helping businesses across many industries leverage large amounts of unstructured data to drive better decision-making, enhance customer service, and build new revenue streams.  In any business situation where prediction is the objective, deep learning can be of use. While there are a variety of enterprise use cases involving deep learning, here are some of the most common:  Deep learning applications are by nature highly data-intensive, and this dramatically changes the compute infrastructure that is required to exploit these technologies. The core technologies required for deep learning are very similar to those necessary for high performance computing (HPC) applications, and include multi-core processors, software frameworks/toolkits, and HPC server platforms built to handle compute-intensive tasks.  As deep learning technologies become even more efficient, cost-effective, and accessible, businesses will be positioned to reap the full benefits of their datasets and fundamentally transform the way they operate. Savvy businesses will hop aboard this next innovative wave of computing capabilities in order to build more intelligent data platforms, improve predictive capabilities, and create business value.  Deep learning is finally moving away from science fiction and breaking through to the enterprise  is your business ready Follow me on Twitter at @Bill_Mannel for more insights into the disruptive technologies that are fueling business transformation.",2017-04-07,"Deep learning was previously a technology that seemed straight from the plot of the latest blockbuster, yet these days it's no longer fiction and ...",Deep Learning Technologies Breaking Through to the Enterprise,https://www.hpcwire.com/solution_content/hpe/government-academia/deep-learning-technologies-breaking-enterprise/
6,"The research team at IBM recently announcedthey've reached a new industry record in speech recognition with a word error rate of 5.5% using the SWITCHBOARD linguistic corpus. This brings it closer to what's considered to be the human error rate of 5.1%. Humans typically miss one to two words out of every 20 words they hear. In a five-minute conversation, that could be as many as 80 words.  The research project includes applying deep learning technologies and incorporating acoustic models. The speech recognition model used Long Short Term Memory (LSTM) and WaveNet language models with a score fusion of three acoustic models. The acoustic models included aLSTM with multiple feature inputs, another LSTM trained with speaker-adversarial multi-task learning and a third model with a residual net (ResNet) with 25 convolutional layers and time-dilated convolutions.The last model learns from positive examples but also takes advantage of negative examples, so it performs better where similar speech patterns are repeated.  Yoshua Bengiofrom Montreal Institute for Learning Algorithms (MILA) Lab at University of Montreal commented about the speech recognition.  In spite of impressive advances in recent years, reaching human-level performance in AI tasks such as speech recognition or object recognition remains a scientific challenge. Indeed, standard benchmarks do not always reveal the variations and complexities of real data. For example, different data sets can be more or less sensitive to different aspects of the task, and the results depend crucially on how human performance is evaluated, for example using skilled professional transcribers in the case of speech recognition.  He also said IBM research helps with advancing speech recognition by applying neural networks and deep learning into acoustic and language models.  In other speech processing news, IBM added Diarization to their Watson Speech to Text service which helps with use cases like distinguishing individual speakers in a conversation. All these achievements help with introducing technologies that will match the complexity of how the human ear, voice and brain interact.",2017-03-31,The research project includes applying deep learning technologies and ... speech recognition by applying neural networks and deep learning ...,Using Deep Learning Technologies IBM Reaches a New Milestone ...,https://www.infoq.com/news/2017/03/ibm-speech-recognition
7,"The chip maker Nvidiais riding the current artificial-intelligence boom with hardware designed to power cutting-edge learning algorithms. And the company sees health care and medicine as the next big market for its technology.  Kimberly Powell, who leads Nvidias efforts in health care, says the company is working with medical researchers in a range of areas and will look to expand these efforts in coming years.  Theres this amazing surge in medical imaging research, Powell said at MIT Technology Reviews EmTech Digital conference in San Francisco on Monday. More and more were visiting providers at hospitals today, and theyre imagining new artificial-intelligence applications.  Most notably, a machine-learning technique called deep learning is being applied to processing medical images and sifting through large amounts of medical data. Deep learning, which is very loosely inspired by the way neurons in the brain seem to work, has already provedincredibly useful for finding images and processing audio files (see 10 Breakthrough Technologies: Deep Learning).  This AI technique certainly seems to be gaining acolytes in medical research. Last year a team from Google showed that deep learning can be used to automate the diagnosis of eye disease. Meanwhile, a group from Stanford University published a paper in the journal Nature that showed the technique can spot skin cancer as well as a trained dermatologist. A group from Mount Sinai Hospital in New York used the approach to analyze patients electronic health records and predict, with surprisingly high accuracy, what disease a person would go on to develop.  These are just a few high-profile examples. Powell noted during her talk that large medical-imaging conferences have become dominated by deep-learning papers.  The graphics processors made by Nvidia are very well suited to performing the parallel calculations required for deep learning, and the chip maker has already built a sizable business supplying hardware to deep-learning researchers in academia and industry. Nvidiamakes a growing number of specialized deep-learning products, including a powerful research computer called the DGX-1and a system for self-driving vehicles called the Drive PX.  Powell believes the companys hardware will increasingly be found in hospitals and medical research centers, too. The approach could help improve the reliability of diagnosis, she said, and might significantly boost standards of care in developing countries, where expertise is scarce. Powell added that drug discovery would likely be another big area for deep learning in the future.  But deep learning might also help doctors find patterns that would otherwise be invisible. Nvidia is, for example, working with Bradley Erickson, a neuro-radiologist at the Mayo Clinic, to apply deep learning to brain images. Erickson has had some success in identifying genetic factors related to brain disease from images, Powell said.  Earlier, at the same event, Gary Marcus, a professor from NYU, singled out medicine as the area in which AI could have its biggest impact. Think about cancer, Marcus said. The risk factors that might indicate the likelihood of such a disease may be hard for a person to identify, but they could be uncovered by an algorithm, he said. The killer app [for AI] might be major advances in how we treat medicine.  There are, however, significant challenges in applying techniques like deep learning to medicine. The approach is so complex and opaque that it may not be clear to a doctor why an algorithm comes up with a particular diagnosis. Powell acknowledged this challenge but said that solutions, such as new ways of visualizing the behavior of deep-learning networks, were emerging. Its a big topic in research right now, she said.",2017-03-28,The chip maker Nvidia is riding the current artificial-intelligence boom with hardware designed to power cutting-edge learning algorithms.,Nvidia's Deep-Learning Chips May Give Medicine a Shot in the Arm,https://www.technologyreview.com/s/603917/nvidias-deep-learning-chips-may-give-medicine-a-shot-in-the-arm/
8,"Artificially intelligent algorithms can learn to identify amazingly subtle information, enabling them to distinguish between people in photos or to screen medical images as well as a doctor. But in most cases their ability to perform such feats relies on training that involves thousands to trillions of data points. This means artificial intelligence doesnt work all that well in situations where there is very little data, such as drug development.  Vijay Pande, professor of chemistry at Stanford University, and his students thought that a fairly new kind of deep learning, called one-shot learning, that requires only a small number of data points might be a solution to that low-data problem.  Were trying to use machine learning, especially deep learning, for the early stage of drug design, said Pande. The issue is, once you have thousands of examples in drug design, you probably already have a successful drug.  The group admitted the idea of applying one-shot learning to drug design problems was farfetched  the data was likely too limited. However, theyd had success in the past with machine learning methods requiring only hundreds of data points, and they had data available to test the one-shot approach. It seemed worth a try.  Much to their surprise, their results, published April 3 in ACS Central Science, show that one-shot learning methods have potential as a helpful tool for drug development and other areas of chemistry research.  Other researchers have successfully applied one-shot learning to image recognition and genomics, but applying it to problems relevant to drug development is a bit different. Whereas pixels and bases are fairly natural types of data to feed into an algorithm, properties of small molecules arent.  To make molecularinformation more digestible, the researchers first represented each molecule in terms of the connections between atoms (what a mathematician would call a graph). This step highlighted intrinsic properties of the chemical in a form that an algorithm could process.  With these graphical representations, the group trained an algorithm on two different datasets  one with information about the toxicity of different chemicals and another that detailed side effects of approved medicines. From the first dataset, they trained the algorithm on six chemicals and had it make predictions about the toxicity of the other three. Using the second dataset, they trained it to associate drugs with side effects in 21 tasks, testing it on six more.  In both cases, the algorithm was better able to predict toxicity or side effects than would have been possible by chance.  We worked on some prototype algorithms and found that, given a few data points, they were able to make predictions that were pretty accurate, said Bharath Ramsundar, who is a graduate student in the Pande lab and co-lead author of the study.  However, Ramsundar cautioned that this isnt a magical technique. It was built off of several recent advances in a particular style of one-shot learning and it works by relying on the closeness of different molecules, as indirectly indicated by their formula. For example, when the researchers trained their algorithm on the toxicity data and tested it on the side effect data, the algorithm completely collapsed.  People concerned about AI taking jobs from humans have nothing to fear from this work. The researchers envision this as groundwork for a potential tool for chemists who are early in their research and trying to choose which molecule to pursue from a set of promising candidates.  Right now, people make this kind of choice by hunch, Ramsundar said. This might be a nice compliment to that: an experimentalists helper.  Beyond giving insight into drug design, this tool would be broadly applicable to molecular chemistry. Already, the Pande lab is testing these methods on different chemical compositions for solar cells. They have also made all of the code they used for the experiment open source, available as part of the DeepChem library.  This paper is the first time that one-shot has been applied to this space and its exciting to see the field of machine learning move so quickly, Pande said. This is not the end of this journey  its the beginning.  Han Altae-Tran, Massachusetts Institute of Technology, is also lead author on this paper. Aneesh S. Pappu, Stanford University, is co-author. Pande is also a member of Stanford Bio-X and the Stanford Child Health Research Institute; and a fellow at Stanford ChEM-H.  This research was funded by the Fannie and John Hertz Foundation.",2017-04-03,"Vijay Pande, professor of chemistry at Stanford University, and his students thought that a fairly new kind of deep learning, called one-shot ...",Stanford researchers create deep learning algorithm that could ...,http://news.stanford.edu/2017/04/03/deep-learning-algorithm-aid-drug-development/
9,"Intel and Japan-based Preferred Networks have announced a collaboration that will focus on the development of Chainer, an open source Python-based deep learning framework developed by the Preferred Networks.  The partnership, announced at Intels Tokyo AI Day, aims to boost the performance of deep learning applications on Intels products and forms part of Intels strategy for gaining ground in the artificial intelligence (AI) space. The collaboration will also focus on easing AI development and affordability, with results of the collaboration published on Intels GitHub repository.  Chainer was made open-source in June 2015 and the framework has since been adopted for the development of deep learning in both research and real-world applications. The framework will utilize Intels open source library  Intel Math Kernel Library and Intel Math Kernel Library Deep Neural Network as a fundamental building block.  We believe in an open, standards-based ecosystem, shared Intels senior director for AI products Nidhi Chappell (pictured), who added that HPC use cases in the academic community have contributed significantly to the development of AI.  Intel is investing heavily in AI across several verticals, including financial services, healthcare, retail and manufacturing. The chipmaker recently formed a new AI business unit and its AI portfolio currently includes its Xeon and Xeon Phi processors, Arria 10 FPGAs and deep learning technology Nervana, which the chipmaker acquired last year.  The chipmaker maintains a bullish outlook on AI, betting that the technology will eventually account for one of the largest workloads in corporate data centers. The nature of AI requires that training be done both at the edge and in the data center, said Chapelle. Many of our customers do not wish to share their data on the public cloud, so deep learning will still be kept on premise.  An October 2016 report from research firm IDC estimates that the widespread adoption of cognitive systems and AI across various industries will drive revenues from nearly $8 billion in 2016 to more than $47 billion in 2020. IDC expects cognitive/AI solutions is expected to experience a compound annual growth rate of 55.1% between 2016  2020.",2017-04-06,"The partnership, announced at Intel's Tokyo AI Day, aims to boost the performance of deep learning applications on Intel's products and forms ...","Intel bets on AI, partners Preferred Networks for open source deep ...",http://www.networksasia.net/article/intel-bets-ai-partners-preferred-networks-open-source-deep-learning.1491492305
